IMSI,MSISDN,IMEI,IP_Address,Timestamp,MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI,Network_Type,Device_Type
2344396907844,447736471027,657838067735925,94.64.61.254,260227073017+0000,234,10,23410,52857920,56354851,63514837,234-10-***,234-10-2330-15,5G,IoT Device
2064732104696,324625953278,726548647470168,29.6.162.158,260228041244+0200,206,1,20601,71368457,42310051,38876195,206-01-***,206-01-6228-40,4G,Smartphone
2347480162456,447506098358,487354641687849,91.150.87.180,260226142058+0000,234,10,23410,92012822,25946545,27268907,234-10-***,234-10-5609-73,5G,IoT Device
2403986800025,467687298259,527523772694958,35.119.138.105,260303122055+0200,240,8,24008,78412668,81449442,75746104,240-08-***,240-08-6555-81,4G,Smartphone
2346940974993,447397289623,142373229130756,196.100.199.167,260313020436+0100,234,10,23410,30324759,65426567,37365878,234-10-***,234-10-7035-52,5G,Smartphone
3105786527858,141549733484,401811424437575,179.127.33.196,260222165344-0800,310,120,310120,85227370,46702849,48626436,310-120-***,310-120-3262-76,3G,IoT Device
2404157473384,467942199330,999035928330165,99.150.194.179,260228081713+0200,240,16,24016,73404979,23494908,28450513,240-16-***,240-16-6654-28,4G,Smartphone
2404540193802,467620672400,500495249915478,99.179.118.88,260225021108+0100,240,16,24016,80372842,76291802,28012011,240-16-***,240-16-8793-71,5G,Smartphone
3107420549329,151268516122,740828045304637,222.46.32.134,260228090654-0700,310,260,310260,45835371,54241559,50526484,310-260-***,310-260-2845-52,3G,IoT Device
2407426841459,467232727956,837170077833918,211.34.17.124,260317030149+0200,240,8,24008,69961498,80890196,58557943,240-08-***,240-08-4871-17,5G,Smartphone
2408225871397,467087072867,856868780874064,198.56.60.114,260222094040+0100,240,1,24001,10404729,39246218,87619624,240-01-***,240-01-9972-74,3G,IoT Device
2400170462265,467676618251,339543248682300,215.144.107.184,260321225554+0100,240,16,24016,50045602,72143331,83074216,240-16-***,240-16-6644-99,3G,IoT Device
3104310690331,120290790306,689165913830284,22.215.4.144,260225205954-0800,310,260,310260,41428626,87324220,52802529,310-260-***,310-260-5055-68,4G,Smartphone
2346440892687,447356856624,605276312873342,213.68.181.17,260318194809+0000,234,20,23420,72146184,17734153,85482164,234-20-***,234-20-3347-94,5G,Smartphone
3105175183046,161790139837,380366185403317,197.15.145.99,260304060654-0800,310,260,310260,42560305,91121400,37449289,310-260-***,310-260-7363-41,4G,Smartphone
3105445877175,130555609320,450005088996423,164.144.97.127,260320162050-0600,310,410,310410,54273769,40872577,60981231,310-410-***,310-410-5637-58,4G,IoT Device
2067725228728,324580100623,191225022038750,202.249.44.254,260305134911+0200,206,10,20610,92924441,95594482,99490304,206-10-***,206-10-5216-72,5G,IoT Device
3100084840862,120218233984,575722794615679,35.190.48.181,260225124229-0800,310,120,310120,42642810,40314047,50261914,310-120-***,310-120-1108-78,5G,Tablet
2407002176591,467903397401,476310288902503,6.130.67.61,260310061551+0100,240,2,24002,88790652,29353063,63458386,240-02-***,240-02-7640-58,4G,IoT Device
2408562185016,467215999650,951105414773586,138.19.96.185,260222142448+0200,240,4,24004,67961650,34929311,88634827,240-04-***,240-04-4939-82,4G,IoT Device
3102626551104,151254121267,847572658861015,10.249.35.153,260222141227-0500,310,410,310410,84386123,22490873,90117857,310-410-***,310-410-5037-19,3G,Tablet
2348398262244,447572126464,749924261543799,79.13.148.165,260222223523+0100,234,10,23410,36246038,71453148,24357588,234-10-***,234-10-5781-62,4G,Smartphone
2065756924593,324852654793,537397106465193,205.248.63.192,260304235822+0200,206,1,20601,89487366,83233096,34149421,206-01-***,206-01-7483-52,5G,Tablet
2406724342661,467697968868,149345365891135,69.63.55.85,260310060434+0200,240,5,24005,32325574,96838849,92232236,240-05-***,240-05-8183-47,5G,Smartphone
2404388899375,467679825071,496522416112545,148.63.103.79,260305110546+0200,240,8,24008,71113711,37765262,79942848,240-08-***,240-08-8052-23,3G,Smartphone
3107514010512,130582825867,411191246226609,103.65.185.106,260320221434-0700,310,480,310480,36484437,70340936,89484162,310-480-***,310-480-2599-66,5G,IoT Device
3101918255371,141578596969,253319695579249,51.51.38.240,260228010629-0800,310,120,310120,89211057,21375216,27978165,310-120-***,310-120-4519-36,4G,IoT Device
2342866929662,447782827422,522222147905072,204.148.145.124,260306142722+0000,234,15,23415,36189702,61532114,85374270,234-15-***,234-15-6003-24,3G,Tablet
3101903404384,130579788191,459554408580783,134.102.23.197,260221035741-0800,310,480,310480,67063296,23746101,97734330,310-480-***,310-480-7809-66,4G,Smartphone
2067133959629,324633095849,823122902544948,100.195.228.44,260223020007+0200,206,1,20601,22780905,28198434,65243509,206-01-***,206-01-8368-43,4G,Smartphone
2405367294667,467016845775,881087510175186,36.103.19.168,260224203723+0200,240,4,24004,39236638,67665720,38434222,240-04-***,240-04-3174-41,3G,IoT Device
3102975001701,130577063242,467782691541520,42.24.134.46,260319061944-0700,310,410,310410,63196064,93967184,51004756,310-410-***,310-410-5646-53,5G,IoT Device
2061293870051,324827136111,520573235426221,6.107.142.27,260306004450+0200,206,1,20601,81203615,85603667,11137460,206-01-***,206-01-2559-10,3G,Tablet
2066973112196,324765234138,906647289940438,196.8.2.199,260311053944+0200,206,10,20610,91460345,78386961,35319707,206-10-***,206-10-4490-90,5G,Smartphone
3103791805526,161765827109,190640680430068,2.106.18.148,260312220657-0700,310,120,310120,48451741,94365330,77249653,310-120-***,310-120-4921-73,4G,Smartphone
3109241418328,141569146303,215712856179904,71.99.46.235,260321011702-0800,310,480,310480,99399687,98322292,33574794,310-480-***,310-480-2350-91,5G,IoT Device
2408842524105,467648149177,785559835079252,180.249.109.229,260319135051+0100,240,4,24004,44241100,23811663,87029205,240-04-***,240-04-1185-30,4G,Tablet
2407562208635,467265419518,170695362380617,149.241.192.42,260301012042+0100,240,1,24001,47890586,51701149,53929586,240-01-***,240-01-1721-11,3G,Smartphone
2404937597383,467206038505,101962316413836,144.229.28.185,260226235040+0200,240,1,24001,76038997,18038980,29109045,240-01-***,240-01-7044-35,4G,IoT Device
2345719182619,447806234456,537887445743132,112.208.18.128,260308010856+0000,234,10,23410,88478184,24626086,30858851,234-10-***,234-10-4792-76,4G,IoT Device
2408537474112,467390352135,631830318044206,49.181.32.252,260223154233+0100,240,24,24024,70693413,84618850,83835976,240-24-***,240-24-8635-50,4G,Smartphone
2060323651994,324501372151,157306027029667,40.95.89.104,260222045948+0100,206,20,20620,13957046,61369075,67265875,206-20-***,206-20-2669-27,3G,Smartphone
2062099934768,324801462638,434400458065787,123.136.225.14,260311235833+0200,206,5,20605,56175477,85920407,77430081,206-05-***,206-05-4066-45,4G,Tablet
2343040785932,447333480396,576210712239559,16.79.54.212,260309102751+0100,234,20,23420,13785821,57201978,86188876,234-20-***,234-20-3946-13,4G,IoT Device
2060103930870,324793252500,298255719218515,205.49.67.95,260224054813+0100,206,20,20620,98870866,63095937,88653825,206-20-***,206-20-9882-49,3G,Tablet
2406752895392,467644220969,143463382959391,173.47.75.203,260309060446+0200,240,7,24007,76596831,28876833,54448673,240-07-***,240-07-6285-27,3G,IoT Device
2405704331541,467006762676,571414498617932,87.86.115.74,260305184203+0100,240,8,24008,70570772,19893106,14484588,240-08-***,240-08-6234-31,5G,Smartphone
2342621815997,447362962015,375885173688444,160.163.104.206,260319203116+0000,234,20,23420,41883191,22873617,16661956,234-20-***,234-20-5278-23,3G,Tablet
3101497310324,120271467741,961498478625652,101.127.194.92,260319202848-0800,310,260,310260,69830944,15988382,45338986,310-260-***,310-260-1893-56,3G,Tablet
3102115869380,151286879374,205971676089899,58.2.22.79,260312212647-0800,310,410,310410,29790089,26143959,70269093,310-410-***,310-410-4706-44,5G,Smartphone
2061632945116,324968548709,888631278616229,183.147.90.41,260322022501+0100,206,5,20605,88911183,88205594,23449152,206-05-***,206-05-4157-26,3G,Tablet
2406799702462,467996065307,460487815054447,193.90.166.155,260318194613+0100,240,7,24007,23182514,40595926,28036919,240-07-***,240-07-9775-54,4G,Tablet
2341373678508,447414862890,333186333303070,85.66.134.209,260319075226+0100,234,20,23420,58368724,36724061,46772637,234-20-***,234-20-5414-63,5G,IoT Device
2340357972798,447552414060,318650619333346,47.225.248.216,260316083421+0100,234,33,23433,78891441,12691381,11194267,234-33-***,234-33-7503-91,3G,IoT Device
3104466574374,161796910858,968847889944171,161.186.194.122,260228212116-0600,310,260,310260,55135227,47108953,95979171,310-260-***,310-260-1138-38,4G,IoT Device
2343096520744,447766099353,817575087584282,94.31.201.9,260304084104+0100,234,20,23420,49431028,23100061,73187139,234-20-***,234-20-5895-34,3G,IoT Device
2065346554947,324570999173,771729361684602,167.93.102.237,260227132424+0200,206,5,20605,28436852,36883353,55992373,206-05-***,206-05-6499-93,3G,Smartphone
3105250074329,130571296666,740755806008350,173.210.29.149,260303090030-0800,310,260,310260,53246714,81274148,35578773,310-260-***,310-260-6183-33,3G,Tablet
2402168942104,467378985625,757906695326033,153.128.119.116,260227134533+0100,240,5,24005,27610141,38345472,12941149,240-05-***,240-05-4707-98,4G,Tablet
2068909010016,324861847230,504151666184992,216.238.151.139,260302173610+0100,206,10,20610,66213840,24081350,78663747,206-10-***,206-10-1612-58,5G,Tablet
2403483564208,467637530011,870614797218114,13.76.99.205,260303100446+0200,240,2,24002,96481420,41025808,71304112,240-02-***,240-02-2741-73,3G,IoT Device
2344556110022,447557941552,252782726674676,80.183.191.243,260321013018+0100,234,30,23430,97086700,32384662,25174194,234-30-***,234-30-1820-22,3G,Smartphone
2069729659027,324816701450,804398679935889,203.97.250.205,260226054923+0100,206,5,20605,22783183,68095862,98813650,206-05-***,206-05-2699-63,5G,Tablet
2060028772175,324654083866,415411661779717,150.31.188.209,260222004758+0200,206,10,20610,70004467,52421060,25932563,206-10-***,206-10-7305-29,5G,IoT Device
3108019948837,141550375899,735029275711305,39.102.189.150,260314174824-0500,310,120,310120,57665946,95048563,49189370,310-120-***,310-120-7609-62,3G,IoT Device
2346149331637,447451609177,983765619827080,144.77.95.163,260304103542+0000,234,10,23410,84252780,68090825,88533572,234-10-***,234-10-3689-73,3G,IoT Device
3109958669346,141547226984,835252725833394,22.78.28.159,260222051245-0600,310,260,310260,56344519,27806897,97253117,310-260-***,310-260-3103-23,4G,IoT Device
2069684608106,324600342442,183259044380571,85.33.255.83,260303192938+0200,206,1,20601,92692727,85414925,40106027,206-01-***,206-01-6771-81,4G,IoT Device
3105800439735,161789334721,350955712816064,135.249.220.117,260311135534-0600,310,410,310410,84705402,45465638,27457234,310-410-***,310-410-1769-58,4G,Tablet
2060259094798,324715832818,313903456886153,51.203.81.229,260314112839+0200,206,1,20601,38635863,99031246,54544651,206-01-***,206-01-6415-69,5G,Smartphone
2348015739930,447561648408,603260168877043,50.236.3.200,260312212502+0100,234,20,23420,52991650,78973779,21052218,234-20-***,234-20-4579-89,5G,Tablet
2403613861207,467301102481,871701323466766,99.8.125.81,260309122553+0100,240,1,24001,52467059,12267067,62278055,240-01-***,240-01-2072-36,5G,IoT Device
2408144914766,467072832684,951001692450882,217.161.97.163,260313045524+0100,240,2,24002,26540343,15606696,10675093,240-02-***,240-02-1745-99,3G,Tablet
3108222394312,161708781414,231805033975523,174.110.85.253,260305013742-0500,310,410,310410,23427820,48270459,93150000,310-410-***,310-410-4441-54,3G,Tablet
2404929955620,467333645257,721224577547812,26.79.221.159,260301114956+0100,240,8,24008,96644469,91420187,21002322,240-08-***,240-08-8960-67,4G,IoT Device
2341108099693,447384887256,399717109427881,22.214.164.83,260306200245+0000,234,33,23433,63255602,58837208,77399750,234-33-***,234-33-4218-43,5G,IoT Device
2402992750373,467045303856,730386077005184,162.183.14.82,260308051758+0100,240,4,24004,45341684,87662596,83061428,240-04-***,240-04-9423-27,4G,Smartphone
2068463865577,324908272318,963660214322259,53.115.185.118,260312153737+0200,206,20,20620,25882013,98732634,40916561,206-20-***,206-20-6985-85,5G,Smartphone
3103926030299,130528092024,341642298699041,200.240.129.100,260223162935-0700,310,120,310120,39070676,70291054,91406527,310-120-***,310-120-8889-96,4G,Tablet
3109298425799,120236621038,776939896291279,115.47.162.222,260313014002-0800,310,260,310260,90505645,15239398,81327320,310-260-***,310-260-4594-62,5G,Smartphone
2406865086376,467399162473,212498054986430,94.104.162.64,260225072057+0100,240,24,24024,10954835,87576121,80134216,240-24-***,240-24-3135-87,5G,Smartphone
2405126944869,467394636887,339873385887449,190.146.196.236,260311052218+0100,240,16,24016,56218720,63436070,28531242,240-16-***,240-16-4365-98,4G,Tablet
2406589026012,467696114351,917424700669849,140.113.160.123,260305073907+0100,240,24,24024,17712557,33524492,95938445,240-24-***,240-24-3650-22,3G,IoT Device
3103098839205,130502146566,886623483801184,57.147.233.152,260314102748-0800,310,120,310120,85042992,88239864,56720553,310-120-***,310-120-4304-94,5G,Tablet
2340426818184,447518489476,855872107357790,128.90.216.161,260228045523+0100,234,15,23415,74688940,25605267,44603983,234-15-***,234-15-4187-68,4G,IoT Device
2408804341651,467927553942,355238497333433,211.105.41.194,260319155810+0200,240,5,24005,37214866,43513553,93026670,240-05-***,240-05-4767-50,4G,Tablet
2347908075957,447847284639,272128800867808,119.110.203.221,260316054301+0000,234,10,23410,56612335,62843790,33461307,234-10-***,234-10-2964-20,5G,IoT Device
3103691559428,141534795527,669006503655647,113.241.21.183,260222092442-0500,310,480,310480,34144323,86693314,27601200,310-480-***,310-480-6171-98,3G,Smartphone
2063227026728,324957448906,232841722034717,165.19.167.5,260306135425+0100,206,10,20610,54916840,44865621,58447502,206-10-***,206-10-4863-81,4G,Tablet
2349399824558,447771694722,959772795699611,221.167.220.59,260321091658+0100,234,20,23420,31743203,56120632,40630893,234-20-***,234-20-1324-62,3G,Tablet
2346475987622,447323413261,228250031780068,5.69.244.148,260317191551+0100,234,38,23438,21173787,23949034,45225746,234-38-***,234-38-5773-44,5G,IoT Device
2064722820055,324878487282,892999849796884,24.75.76.19,260315044110+0100,206,20,20620,56596140,74646194,82433029,206-20-***,206-20-6068-39,3G,IoT Device
2062400825478,324577406493,109687818536866,171.27.247.129,260315103201+0100,206,20,20620,43540489,31913660,96703417,206-20-***,206-20-6044-56,4G,Tablet
3103894484631,130524179749,760345873502080,11.211.243.121,260315203825-0800,310,260,310260,34956121,23726915,47864772,310-260-***,310-260-5308-20,4G,IoT Device
2342073564757,447351204618,731020322346013,82.73.94.188,260301025752+0000,234,38,23438,61646699,69453211,43173547,234-38-***,234-38-8183-11,3G,Smartphone
2407645208814,467643503136,535554630249163,37.40.47.50,260227220523+0100,240,24,24024,11198544,15636254,87990837,240-24-***,240-24-2539-76,5G,Smartphone
3101950052812,151235857306,580724272407784,114.113.227.238,260225005301-0600,310,410,310410,82844534,75779034,35471281,310-410-***,310-410-2466-41,3G,Tablet
2062182744857,324586209593,530428321863878,90.22.27.174,260314015234+0200,206,10,20610,30687181,92280734,48000942,206-10-***,206-10-8674-45,5G,IoT Device
2341022031731,447396789940,591712043910371,17.254.20.171,260302192920+0100,234,38,23438,72821834,95753950,18147041,234-38-***,234-38-6276-24,3G,IoT Device
2340141381138,447733839288,657251331957612,33.64.2.241,260227021030+0100,234,20,23420,34212413,83815115,63896091,234-20-***,234-20-1955-88,4G,IoT Device
2345566593983,447784577600,481825509082404,188.44.20.214,260318140605+0000,234,33,23433,39781129,38833029,52265790,234-33-***,234-33-8258-55,4G,IoT Device
2402245933441,467969315727,873406111940961,206.99.143.7,260307044047+0200,240,4,24004,17505818,54881018,56698401,240-04-***,240-04-2544-14,4G,Tablet
3106048058925,161732067998,220907293646225,169.107.68.250,260315114523-0800,310,120,310120,21079017,73868130,86697457,310-120-***,310-120-4714-93,5G,Smartphone
2402278376938,467983314659,220251901665535,183.14.167.41,260309004623+0200,240,7,24007,56241350,89708841,97967622,240-07-***,240-07-2393-61,5G,Tablet
2402703352110,467292405147,732420920538338,125.241.76.34,260307124646+0200,240,4,24004,80231557,44716489,83658696,240-04-***,240-04-6729-88,4G,IoT Device
3100420439407,120216451046,410269266815798,57.224.83.7,260221180908-0600,310,120,310120,21813934,35020518,36692577,310-120-***,310-120-7170-84,5G,IoT Device
3107620555438,141504608432,558737606216893,170.130.176.220,260314143954-0500,310,120,310120,66013532,42260681,86893142,310-120-***,310-120-5053-77,4G,Tablet
2063298324826,324692518812,526272262056647,14.77.232.46,260322072227+0200,206,10,20610,95476210,46748299,30395330,206-10-***,206-10-6395-67,5G,Smartphone
2064999393305,324572897526,759607117223306,133.95.101.40,260310152502+0100,206,5,20605,12015179,46219821,65437830,206-05-***,206-05-4026-13,5G,IoT Device
2067573660965,324899988081,706140137038860,93.140.119.167,260312040203+0100,206,5,20605,84853354,61995659,79273350,206-05-***,206-05-2083-32,4G,IoT Device
2407264908277,467081298266,534141917027937,122.158.107.19,260226080557+0100,240,7,24007,22103709,43565477,53496580,240-07-***,240-07-8201-60,4G,Tablet
2061868926860,324659222206,513474094742123,56.67.154.153,260227053859+0100,206,1,20601,10474177,93558632,43971980,206-01-***,206-01-2870-67,5G,Tablet
2407339776719,467903849830,348088032050209,201.175.174.176,260301053557+0200,240,24,24024,90971604,50056146,54440977,240-24-***,240-24-9169-79,3G,IoT Device
2404999827950,467045561681,493033417214586,65.61.147.97,260228105323+0100,240,2,24002,80416822,38164968,38058347,240-02-***,240-02-7831-32,3G,IoT Device
2404695489952,467997877293,489886473010713,86.101.192.16,260315083306+0100,240,2,24002,92585240,65650977,65571661,240-02-***,240-02-8924-98,5G,IoT Device
2404414488501,467356990235,553571167702727,66.147.150.220,260227144139+0200,240,8,24008,82070563,54977656,72071682,240-08-***,240-08-4478-11,5G,Smartphone
3103955124056,161729962914,522113940461735,200.204.37.52,260315121808-0500,310,410,310410,70653840,50618137,39009803,310-410-***,310-410-6169-81,5G,Smartphone
2347807823578,447552182307,620212098104091,143.68.82.0,260318012957+0000,234,10,23410,54733393,72663022,16192775,234-10-***,234-10-7131-14,3G,Smartphone
2403344857142,467241098813,828169715854249,141.243.33.142,260224160800+0200,240,1,24001,42859865,32988138,19562056,240-01-***,240-01-6114-91,3G,Tablet
2347016016629,447879545381,725045739217174,122.243.127.80,260306200444+0100,234,33,23433,96492401,72464469,73155598,234-33-***,234-33-8268-16,3G,Smartphone
2065577017157,324824599281,644502501581487,135.84.129.170,260225220345+0100,206,5,20605,63796676,89260394,65491233,206-05-***,206-05-5227-56,4G,Smartphone
2063966958321,324971997581,697559112461919,108.250.3.242,260316051552+0100,206,5,20605,60856575,53943990,76343171,206-05-***,206-05-8903-59,3G,Tablet
2402278469973,467254946519,110897479862405,83.247.27.134,260224030507+0100,240,5,24005,83670115,17130627,10113187,240-05-***,240-05-3276-84,5G,Smartphone
2349656666832,447723865624,999347472201027,220.2.131.189,260310034941+0000,234,20,23420,98305426,68617594,28223512,234-20-***,234-20-1510-40,4G,IoT Device
2409278687653,467269097384,651417178950097,178.110.144.40,260304185044+0100,240,16,24016,59469782,25188664,87882357,240-16-***,240-16-8471-99,5G,Tablet
3101891371894,161705807787,870363185654420,173.241.91.4,260310153353-0500,310,260,310260,90213415,50811697,85659375,310-260-***,310-260-9624-45,4G,IoT Device
2340490471281,447542944401,910435552927524,179.223.174.221,260223223724+0000,234,38,23438,41701674,75084661,34267798,234-38-***,234-38-8752-84,3G,IoT Device
2406637239504,467002767478,413614906674286,1.21.7.3,260316183216+0200,240,2,24002,11592230,48761035,70239684,240-02-***,240-02-3376-86,3G,Tablet
3106945441496,151239385258,114197530106181,27.219.183.119,260303071428-0700,310,120,310120,69853349,57179735,39449560,310-120-***,310-120-2595-78,5G,Tablet
