IMSI,MSISDN,IMEI,IP_Address,MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI,Network_Type
240504656504217,467001690652,328444940393700,52.195.254.86,240,60,24060,46089689,48288917,85160061,240-56-2907,240-85-1978-21,4G
240873499237456,467063773686,191434175960651,222.232.169.158,240,58,24058,51226977,63327626,74035680,240-44-6835,240-39-7069-19,5G
240735187315148,467034575820,758340353115415,191.246.90.187,240,5,24005,97587991,32303133,97035284,240-05-1824,240-05-1824-51,3G
240139914949876,467092974200,352169445794166,84.197.223.216,240,95,24095,34806999,74949294,43104460,240-78-9602,240-43-1719-18,4G
240330366870200,467090727922,480002221345249,140.209.135.26,240,1,24001,37291010,15126257,85453730,240-01-5145,240-01-5145-83,4G
240764862138525,467064047653,144931810658379,147.216.185.47,240,38,24038,63268125,91096414,23960979,240-47-2130,240-84-3719-36,3G
240116174018355,467069196907,427278099020606,107.254.71.210,240,49,24049,84759364,71983762,62545610,240-27-4491,240-48-1912-85,5G
240124025970017,467078278394,642684860734159,151.46.80.130,240,43,24043,19289646,89432385,48347129,240-51-2378,240-10-3630-83,5G
240780791033155,467043337671,348802964494846,176.111.52.29,240,80,24080,75333452,92248935,78200891,240-80-2714,240-80-2714-61,3G
240509028800181,467082301242,851697997026245,64.196.109.41,240,73,24073,15470420,39333168,85843331,240-99-8622,240-60-8216-55,4G
240049033763091,467090675295,957894408099734,213.71.78.65,240,28,24028,71768731,87758961,33232507,240-28-8526,240-28-8526-26,5G
240098397568935,467019183627,383959337162185,182.33.179.23,240,39,24039,61941020,73832351,11353335,240-36-8481,240-93-8351-47,4G
240314187795864,467083444192,495530733025694,19.225.233.138,240,22,24022,45870999,81671950,98003714,240-22-6612,240-22-6612-19,4G
240447030960552,467058198885,641878099652765,183.121.225.63,240,21,24021,70281627,41460818,12485037,240-21-1361,240-21-1361-64,3G
240128127559915,467084442797,301223190177038,96.49.74.85,240,75,24075,95979550,43421808,76720816,240-75-2994,240-75-2994-34,3G
240539172050768,467080574281,583263810630029,215.33.128.206,240,11,24011,77204892,30329192,78641372,240-01-3201,240-44-5208-12,3G
240808039512937,467029838596,535073139679877,86.2.212.195,240,3,24003,88394822,19864243,19654691,240-14-9058,240-73-4906-31,4G
240176814419956,467056998388,722844176323328,83.87.242.60,240,71,24071,87761640,62304951,49463679,240-33-7151,240-26-9240-61,5G
240218356493751,467039994971,988121382528821,92.113.34.230,240,7,24007,33418660,23145879,93648638,240-02-6755,240-83-7640-37,4G
240631298887683,467041735139,140308637778782,88.75.111.48,240,49,24049,43246592,12179820,66415607,240-49-7773,240-49-7773-18,5G
240760866567250,467030795132,330876185299762,128.25.107.2,240,13,24013,50216490,69064212,26801111,240-41-1524,240-12-5255-37,4G
240567039137134,467014868601,766955058647148,92.130.3.11,240,11,24011,45595727,41369821,57207792,240-11-6654,240-11-6654-32,4G
240707195015136,467037040436,734780148856875,1.217.6.103,240,15,24015,61491142,46791108,79455257,240-15-6929,240-15-6929-80,4G
240149391145703,467005197109,840341936157520,16.196.185.28,240,27,24027,75505072,27933073,44087019,240-27-3420,240-27-3420-99,3G
240044053927692,467008516445,778367049536743,5.34.26.4,240,17,24017,85406578,17988474,25119578,240-17-5966,240-17-5966-12,4G
240964540608388,467083730226,902464473367726,109.222.106.129,240,11,24011,90712065,31972185,90638284,240-11-3786,240-11-3786-33,4G
240124502933480,467072233927,889954992264351,113.34.217.15,240,28,24028,93731777,84844061,91427410,240-61-8079,240-90-4410-85,4G
240053420342015,467056468984,843870049998051,93.217.39.63,240,31,24031,61345224,21152563,64576497,240-31-8573,240-31-8573-58,5G
240896385329445,467067692011,123381622962286,173.9.239.42,240,92,24092,96510812,87043119,23769065,240-34-3824,240-47-2130-84,3G
240927031925687,467074665192,752110297456341,53.109.197.68,240,77,24077,28553919,43231930,77141699,240-05-5690,240-28-7238-19,5G
240970764360393,467050239983,563360591470329,109.207.58.8,240,58,24058,62333516,66034534,44489269,240-58-1018,240-58-1018-43,3G
240659598320901,467022470856,624707984513059,178.166.191.40,240,45,24045,60315022,81944327,50004233,240-90-9554,240-82-4307-44,3G
240308236920582,467089324125,843536211164745,134.197.11.204,240,36,24036,30541418,13262873,19830277,240-36-8611,240-36-8611-30,5G
240443086816701,467047070558,694143772487092,165.168.234.59,240,91,24091,54109760,77836757,44835306,240-91-3946,240-91-3946-38,4G
240500936152074,467087556701,348932754245889,92.145.38.80,240,89,24089,57999812,87062897,53108330,240-89-8034,240-89-8034-40,5G
240700855648657,467060346824,200151087111665,212.188.22.242,240,39,24039,13392586,98810111,76125813,240-76-3675,240-82-7207-92,4G
240969177305152,467065463956,145211189313244,77.38.28.196,240,11,24011,26573765,52067157,45924357,240-11-9114,240-11-9114-78,5G
240118203826895,467005902488,311746765682828,63.168.168.167,240,75,24075,83007490,96696953,53644922,240-75-4317,240-75-4317-21,4G
240919108065765,467022163919,395253854073387,45.88.163.139,240,45,24045,97095844,43635795,65924674,240-18-6031,240-90-2694-70,3G
240368847858188,467043034777,525608956183632,198.22.165.11,240,2,24002,73303395,93193802,67113494,240-17-3110,240-41-8944-77,5G
240085030900542,467068389859,715796967313053,107.206.207.179,240,39,24039,26276085,44307392,22774839,240-95-4729,240-64-2893-84,4G
240824798157535,467056846671,290432927062680,113.241.156.91,240,6,24006,15728084,99090326,57593933,240-06-6675,240-06-6675-96,4G
240701182026109,467094233845,245915129007800,104.101.5.200,240,54,24054,43372308,24130532,91939932,240-54-7872,240-54-7872-20,5G
240149342624799,467048775718,200599023526774,177.206.213.100,240,94,24094,17285514,86881175,19558533,240-74-1182,240-06-3579-65,5G
240063026909236,467029075706,811660804048552,42.73.131.244,240,85,24085,64126448,54458378,83162955,240-85-8932,240-85-8932-45,5G
240467639796256,467042080374,630137395761206,50.25.63.188,240,45,24045,94372229,83740362,29010341,240-45-2700,240-45-2700-86,3G
240558087634106,467065557942,276362996891973,141.38.51.179,240,32,24032,63304872,20589559,60910290,240-09-6508,240-12-1232-58,3G
240831573169805,467000657529,284467578268523,219.193.66.214,240,57,24057,61739449,28687029,99397740,240-57-3684,240-57-3684-71,4G
240756031381154,467030940410,467287687827243,39.71.132.207,240,6,24006,64231975,15784923,49362414,240-06-2306,240-06-2306-68,3G
240398035937812,467068980015,275655686561321,25.58.76.175,240,36,24036,92687620,29416657,54212069,240-11-9562,240-05-1174-10,5G
240746804916915,467018962821,477757462332740,3.246.181.173,240,22,24022,27910852,37237971,14982489,240-35-8602,240-53-9474-78,5G
240982252948374,467049493431,636156614309526,124.100.142.47,240,92,24092,30735648,35923980,24357378,240-47-7277,240-85-1893-38,3G
240106918644172,467001794184,651097923191668,80.115.207.106,240,22,24022,16413692,20061662,81751553,240-22-6620,240-22-6620-47,4G
240850592493149,467043015763,994198739169633,29.234.219.63,240,11,24011,27210117,14277137,37662894,240-11-4695,240-11-4695-11,4G
240945119970202,467027227581,538794840235243,4.100.220.82,240,37,24037,17469821,48388121,75467627,240-37-8568,240-37-8568-60,5G
240953010396559,467031045331,703348314729492,205.21.80.220,240,5,24005,13113138,69629779,89211957,240-05-5674,240-05-5674-94,4G
240055905514579,467055675992,112000673368036,137.192.205.218,240,43,24043,13269346,47779963,23611289,240-43-3093,240-43-3093-52,3G
240982000983246,467027066536,793065300990230,97.248.51.106,240,74,24074,75242301,24161538,77244817,240-91-2116,240-61-9115-91,3G
240784458186121,467034753755,547004211979193,112.72.40.211,240,92,24092,93076998,18091618,29133963,240-20-1493,240-60-7831-87,5G
240672557423657,467023507071,700230242596243,150.157.99.61,240,71,24071,75995569,21532147,95677750,240-71-8941,240-71-8941-21,5G
240724943804328,467081053390,804068666850258,208.64.107.90,240,7,24007,27344604,57417478,18355089,240-07-6072,240-07-6072-11,4G
240892252600153,467096037602,633882213201009,223.172.165.122,240,76,24076,79014326,18231647,41671120,240-76-2201,240-76-2201-59,3G
240249721285084,467093678478,721046727790060,61.73.164.129,240,80,24080,40431836,49821811,83167122,240-37-5815,240-71-7230-19,4G
240798933749678,467085974789,481941826791996,74.15.16.253,240,87,24087,50633529,37729624,13523293,240-94-1920,240-15-3198-73,3G
240107282238900,467048208330,540473728296480,32.91.170.13,240,77,24077,96974149,63941153,97472013,240-77-3644,240-77-3644-72,4G
240475729348088,467057985373,395051062735379,208.103.183.27,240,66,24066,41739206,35602683,85639848,240-53-1081,240-28-1732-60,5G
240729168069152,467026419435,477691497853983,168.76.22.232,240,80,24080,31625040,71792300,83699676,240-11-1602,240-67-7818-46,3G
240512239634234,467044757137,816874834336647,123.84.128.86,240,21,24021,78968058,75088081,73194799,240-21-3743,240-21-3743-33,4G
240583029566584,467050063361,920033433053232,100.43.64.247,240,68,24068,27652266,47531290,50339479,240-68-3070,240-68-3070-66,3G
240850904342803,467085671891,307943429398556,169.94.171.142,240,12,24012,44882054,31183972,25408500,240-92-6332,240-78-7769-46,4G
240393855608096,467038613999,165736290086333,24.142.39.14,240,80,24080,39524271,93654625,70918021,240-80-2144,240-80-2144-21,3G
240701303094917,467008242082,902033134238853,140.70.41.176,240,7,24007,26487479,79337958,37267901,240-58-2199,240-36-6158-44,3G
240274667396661,467090221313,577815919905716,86.143.49.226,240,6,24006,26481857,98800861,99006889,240-87-6058,240-20-1691-74,4G
240256080935288,467020116947,289285797637029,191.87.131.233,240,67,24067,19365782,74235132,81768010,240-05-1174,240-27-2485-56,4G
240865109149528,467063861867,395739874465045,182.101.152.9,240,88,24088,65172196,62685679,81334560,240-70-3098,240-95-4729-21,5G
240299356883618,467079538901,452270191877402,111.58.191.114,240,21,24021,59012254,62926037,35398408,240-21-6069,240-21-6069-36,4G
240996972127435,467031879244,797875398456453,101.193.166.8,240,44,24044,95627641,29652836,36228455,240-94-9803,240-39-7424-21,5G
240465912887946,467081542375,243080968687729,24.106.125.28,240,95,24095,58930393,85678061,95877406,240-69-5982,240-29-2792-44,4G
240347598237945,467035062237,663828070993157,134.31.130.111,240,69,24069,97968613,43166381,87980280,240-58-2552,240-95-6017-46,5G
240622950968207,467067379804,544547875987418,203.220.146.159,240,66,24066,68917758,97920915,35714958,240-66-7367,240-66-7367-24,5G
240059772497844,467006795495,409064838030349,124.243.240.231,240,41,24041,91921253,72670862,33906438,240-41-5731,240-41-5731-63,4G
240661377773640,467062384576,635394391377427,121.247.169.181,240,78,24078,88659262,46427624,81585829,240-22-4643,240-80-8526-20,4G
240625825050137,467090741539,166984788936777,3.235.182.141,240,7,24007,88705812,63448077,80470029,240-07-6535,240-07-6535-18,4G
240569117292049,467043031935,644050211483011,112.218.65.128,240,68,24068,61629934,41119166,68166828,240-68-8081,240-68-8081-74,5G
240071036765878,467042253594,607239804508317,98.253.197.92,240,35,24035,92447465,29996594,20224710,240-35-6561,240-35-6561-41,4G
240639486745971,467000538829,297732620701637,199.188.65.170,240,95,24095,57627094,95265932,39315956,240-95-5543,240-95-5543-41,4G
240463928027461,467014848916,187575575162233,11.143.29.99,240,57,24057,49014340,85122729,69809517,240-57-1623,240-57-1623-61,3G
240576890861644,467035022936,827572109687470,218.92.202.47,240,88,24088,82654207,96659099,79631770,240-88-3405,240-88-3405-45,3G
240855124870344,467047923435,424708653547495,57.27.40.161,240,97,24097,37377174,67997896,30368502,240-76-5219,240-77-3189-15,3G
240052899524945,467037788737,447715846051481,124.140.148.185,240,39,24039,95582439,74323087,28193075,240-94-1379,240-08-7607-75,4G
240966229031220,467069949602,163259450180439,137.255.87.75,240,6,24006,62671015,62878485,96645096,240-06-5014,240-06-5014-69,4G
240295991672511,467049322647,190786685544142,214.226.119.37,240,44,24044,13038184,54016696,59330706,240-44-2585,240-44-2585-72,3G
240650036426960,467030203091,958761903275022,132.181.196.117,240,76,24076,65130284,14967062,81422597,240-76-1314,240-76-1314-98,3G
240011972496886,467097525925,654375550499806,112.225.205.60,240,53,24053,23861311,20158141,26735336,240-53-8782,240-53-8782-52,5G
240447073031316,467014894036,695121424023423,56.13.172.250,240,12,24012,23910228,45553519,39091501,240-12-1219,240-12-1219-11,3G
240667671577403,467084426769,311692512273431,50.90.106.54,240,40,24040,75298307,19851892,66564333,240-40-5394,240-40-5394-47,4G
240154669199678,467085582243,204267341640736,159.146.38.45,240,18,24018,74473277,17808712,18267573,240-18-7192,240-18-7192-37,5G
240092249690406,467026912723,858685440911233,177.110.36.28,240,25,24025,39687527,59741745,48245895,240-25-6485,240-25-6485-41,4G
240862203838286,467018875599,653044724209872,166.189.13.24,240,32,24032,29211083,42746643,23798279,240-32-5254,240-32-5254-70,4G
240309325322097,467075832203,672333253396487,64.208.6.40,240,77,24077,17866030,57636434,27128368,240-77-5321,240-77-5321-80,4G
240319689391248,467049562582,930552269118882,100.176.83.71,240,7,24007,81452683,66978436,30544829,240-07-5538,240-07-5538-94,4G
240749547867675,467034891414,526388417280946,215.190.160.3,240,84,24084,24660491,29293828,97521288,240-81-4437,240-33-7256-87,5G
240679666646722,467081928209,331646346401675,100.167.97.206,240,74,24074,54968325,19067115,49594223,240-96-4818,240-49-2195-30,4G
240760892439538,467078119536,749613926670462,29.104.52.124,240,65,24065,73819610,68031358,67566598,240-65-8743,240-65-8743-62,5G
240446539851524,467059688473,795483568680525,151.250.23.74,240,35,24035,81361189,37544511,91390290,240-35-2086,240-35-2086-48,3G
240938888205950,467081946923,643637522568586,204.154.133.65,240,39,24039,64944912,84020549,93908866,240-83-6202,240-79-3102-90,5G
240656972030500,467035805382,758728291156167,38.172.141.2,240,51,24051,85568682,98018211,71792455,240-51-8322,240-51-8322-66,5G
240397872453980,467023972659,904138800789179,59.226.32.17,240,63,24063,90625712,19935448,98506565,240-63-2540,240-63-2540-78,3G
240151746540984,467023079571,103575061689604,2.67.83.125,240,8,24008,71109406,97590036,73852959,240-08-5952,240-08-5952-78,4G
240743738907581,467032643486,524782111059288,4.221.29.43,240,84,24084,79572301,52974014,35717072,240-84-3479,240-84-3479-68,3G
240168800009144,467085491224,452367900770117,12.241.211.232,240,32,24032,49190628,89193455,34271405,240-32-2123,240-32-2123-32,3G
240942167570600,467031725182,601225515142682,68.74.213.43,240,82,24082,94986189,85219254,75405109,240-82-2606,240-82-2606-41,3G
240581882222840,467093404007,651578198177845,150.238.10.214,240,34,24034,49762986,60035403,44891845,240-34-7919,240-34-7919-19,5G
240499912081093,467095789694,495243719089792,95.63.220.136,240,51,24051,13479321,17738827,43950483,240-51-2750,240-51-2750-87,3G
240713840521617,467085286552,660420727832830,110.2.155.10,240,69,24069,37616353,15449158,80703075,240-34-5581,240-81-8988-27,5G
240611964524457,467094149508,705642420732308,130.228.186.68,240,14,24014,41787481,82888645,91704342,240-14-8213,240-14-8213-90,5G
240732740626898,467026435870,418562896951725,195.154.218.137,240,91,24091,29432709,24040000,41311055,240-91-5154,240-91-5154-32,4G
240843245561093,467038205188,617928506830237,185.86.45.193,240,56,24056,22991667,79486398,12364514,240-56-5683,240-56-5683-60,4G
240471420333266,467075351730,308996297731309,22.219.98.99,240,2,24002,37985230,74231876,61841685,240-02-1806,240-02-1806-82,3G
240748921581531,467089226291,407817997605029,174.6.205.222,240,45,24045,75158465,59046894,11378804,240-49-4859,240-12-9331-31,5G
240876236151532,467094733671,790485458273081,133.98.90.68,240,59,24059,80046234,93558073,16875771,240-59-7039,240-59-7039-14,5G
240705216821972,467058688861,829436503751193,80.32.38.177,240,6,24006,54427398,86842201,18406298,240-06-7110,240-06-7110-44,5G
240601023727595,467010785043,998728456698090,157.33.80.220,240,88,24088,88927584,12517314,19953428,240-88-9976,240-88-9976-92,5G
240846841775418,467043440929,669802844405205,142.83.66.80,240,26,24026,61774006,95459622,56767345,240-26-7133,240-26-7133-73,5G
240804655621105,467026641228,584816882370920,71.197.207.4,240,80,24080,16753827,70795129,30223722,240-80-1126,240-80-1126-15,3G
240653747379726,467044296723,324572476117322,131.224.235.119,240,50,24050,40898097,40269874,98904596,240-50-8566,240-50-8566-51,5G
240210412032366,467011312437,999071648102395,198.106.30.83,240,11,24011,44400618,91062412,80869398,240-11-1981,240-11-1981-93,3G
240430818659590,467071772749,878767035555609,57.71.15.218,240,2,24002,41234049,53297664,20817618,240-20-1701,240-34-9007-31,4G
240917056781121,467048473985,604858631981358,43.214.184.86,240,90,24090,39051137,50345818,74328534,240-90-4306,240-90-4306-77,4G
240922027139430,467020922639,535133309710302,114.79.103.175,240,66,24066,32324237,79215736,50800310,240-66-6973,240-66-6973-70,4G
240792732481790,467016047771,239986845167565,166.99.254.12,240,29,24029,13698705,39458841,59333177,240-29-9282,240-29-9282-66,5G
240037908726406,467092424791,283464074677013,156.33.52.8,240,63,24063,32357929,41144544,37481778,240-63-4078,240-63-4078-53,4G
240501528345258,467045040156,210704579543255,79.11.202.77,240,31,24031,96465903,11930273,83003919,240-31-1134,240-31-1134-27,3G
240126267855101,467094996662,104678698287706,117.19.241.178,240,17,24017,61783539,26305781,78027391,240-17-4780,240-17-4780-17,4G
240157583565295,467003424259,675211417325439,217.122.23.156,240,56,24056,72583981,36130748,85010477,240-39-6849,240-39-7972-30,5G
240053861711583,467020598222,862741538711976,136.136.115.98,240,23,24023,16068103,82931985,71596697,240-23-6213,240-23-6213-33,4G
240265609206867,467069138232,858822246674491,62.192.18.222,240,22,24022,40953606,12024725,21928469,240-22-5805,240-22-5805-48,4G
240937776507147,467098763063,441655248240993,144.13.145.222,240,23,24023,90511676,81041155,96491722,240-23-6321,240-23-6321-66,4G
240999607398928,467028774990,283790160778533,189.48.136.173,240,90,24090,93153894,42621275,63377349,240-05-8302,240-36-1179-77,5G
240045996790906,467012167144,886446616123220,62.204.114.25,240,82,24082,88925629,23730202,16982801,240-04-5138,240-85-6196-63,5G
240633219409785,467095694133,376884378635289,181.252.255.112,240,27,24027,74763489,72880675,16630887,240-27-4383,240-27-4383-95,4G
240170434648895,467015196009,624618323715736,192.109.150.71,240,59,24059,91224932,55086752,66763525,240-59-9432,240-59-9432-39,5G
240187696806134,467031374242,428995828086485,19.169.77.210,240,37,24037,13442771,56603194,67279583,240-82-7945,240-52-1417-52,4G
240929109358072,467064478069,989609676274390,60.67.227.41,240,32,24032,93075313,86612970,87378770,240-32-5997,240-32-5997-71,4G
240153840888097,467070168926,628153655934038,4.156.57.192,240,41,24041,97009405,67719465,39857861,240-41-5679,240-41-5679-40,4G
240163427867202,467010938622,138820773456771,42.237.15.211,240,35,24035,69559157,81712228,25740067,240-35-3914,240-35-3914-81,4G
240723159698924,467044574171,292498186325571,10.63.251.53,240,47,24047,14445823,53013400,69788926,240-47-4254,240-47-4254-69,4G
240236395968795,467000294181,689603118061918,155.251.243.123,240,82,24082,32083133,52227735,26497153,240-56-1218,240-98-7180-14,3G
240391914634516,467085560952,854158020855754,3.80.95.157,240,52,24052,74815233,14649253,35515161,240-52-5582,240-52-5582-89,4G
240393819251038,467094304000,518686451492759,185.26.31.30,240,62,24062,48679102,67073823,75855205,240-62-3275,240-62-3275-22,3G
240105246341738,467079538861,493394057154172,61.191.86.156,240,59,24059,37281476,70333747,54138240,240-62-2968,240-29-9544-81,4G
240106734851775,467084103133,544921117243478,44.146.29.185,240,48,24048,72146870,55631249,19952936,240-70-5136,240-66-7800-93,5G
240703435543140,467094752253,557158959177240,175.49.212.58,240,38,24038,49438602,24286189,55746466,240-38-2720,240-38-2720-34,3G
240372888956841,467084906946,394449269800443,155.191.7.127,240,22,24022,17095103,45807098,75684189,240-22-4098,240-22-4098-12,4G
240893516646979,467002189474,345444443865114,44.45.57.33,240,77,24077,71776391,69049363,69535776,240-77-4781,240-77-4781-62,4G
240746595165183,467097730888,906009827397275,168.225.100.167,240,48,24048,23366962,38633149,37116350,240-02-5055,240-42-3471-27,4G
240718543286831,467095677685,207603307501764,195.120.200.17,240,20,24020,91300468,17123340,29732110,240-20-3026,240-20-3026-25,3G
240827785485669,467015323814,590698902077942,79.243.119.144,240,25,24025,50919426,75135602,24084375,240-25-2006,240-25-2006-68,3G
240359948663616,467023448701,753814568022463,153.110.244.184,240,63,24063,39872402,99312197,55278298,240-63-7355,240-63-7355-79,5G
240489270427316,467047661087,807626887824398,110.115.31.187,240,37,24037,85079792,33680619,10750285,240-37-6326,240-37-6326-59,4G
240053078132603,467012969995,386034144213293,183.105.80.242,240,10,24010,15354087,61914006,32311202,240-10-3971,240-10-3971-30,4G
240160470405884,467089440990,111421616327583,223.120.217.81,240,36,24036,74917881,44540056,15755286,240-36-3709,240-36-3709-80,4G
240865915691503,467081280050,696785988382767,87.209.190.146,240,16,24016,84911221,13770074,59142991,240-16-3035,240-16-3035-87,3G
240133290040251,467007086973,739544695892675,97.35.216.167,240,25,24025,81092829,11087804,70149120,240-25-6472,240-25-6472-96,4G
240672801751449,467086546387,379654231498287,29.1.231.98,240,64,24064,33022790,91704179,63881541,240-64-6720,240-64-6720-26,4G
240546124995893,467058265119,823792596858680,51.35.155.251,240,44,24044,49523453,42705202,64800763,240-44-8677,240-44-8677-40,5G
240729792062300,467035211386,459283582636507,170.22.218.163,240,73,24073,47119883,77798482,95881832,240-91-5739,240-43-8856-44,5G
240359972193873,467099389513,242150538266954,29.104.180.161,240,60,24060,96280259,36843669,11323815,240-60-8029,240-60-8029-73,5G
240769160602702,467000404669,932745187971879,126.233.8.182,240,38,24038,16586505,99007919,45982004,240-38-1566,240-38-1566-44,3G
240669337375444,467068723131,948901687896120,183.236.15.48,240,30,24030,82764526,29566521,60701493,240-87-2425,240-27-1308-78,5G
240862477130002,467088581630,265380277172791,82.96.43.15,240,3,24003,36559578,39361911,64355493,240-03-1342,240-03-1342-90,3G
240204634903307,467094659482,842036447021269,131.61.119.2,240,20,24020,79569761,81167832,18897729,240-20-6398,240-20-6398-77,4G
240433490889215,467064392270,827256738005880,86.56.181.0,240,12,24012,45816419,84376513,85884145,240-12-8967,240-12-8967-17,5G
240300610270993,467062643830,930279254613412,88.220.245.178,240,2,24002,84410223,56325582,76836724,240-02-2921,240-02-2921-81,3G
240376117336673,467078542964,494809130289782,139.109.107.242,240,58,24058,66899966,40276756,16284462,240-58-8763,240-58-8763-53,5G
240594632886656,467078034573,258602990241597,61.253.220.57,240,54,24054,79902112,84608336,19237113,240-54-6471,240-54-6471-37,4G
240075629299952,467054999318,443940260199736,75.181.4.100,240,2,24002,41245347,60287428,61214394,240-02-5259,240-02-5259-71,4G
240135047858119,467077554796,573907881700953,74.6.176.166,240,40,24040,71566107,86296896,43261106,240-40-4876,240-40-4876-24,4G
240980223030252,467060940546,826812212987766,79.233.24.163,240,73,24073,31197616,93665630,79931220,240-73-7359,240-73-7359-76,5G
240767608075191,467092211953,592132540199073,71.167.204.32,240,50,24050,64977772,78440655,19299349,240-90-2129,240-64-3978-72,3G
240456916792917,467042515903,172344749937568,68.123.19.209,240,15,24015,84756536,43241160,60239315,240-03-8297,240-22-8381-33,3G
240991098106358,467096211593,650040654457241,193.167.78.191,240,26,24026,51736903,59101376,84869486,240-97-7459,240-29-6136-15,5G
240042639144386,467045887189,328102190263579,43.207.75.192,240,84,24084,83099168,50130097,22599914,240-59-3924,240-47-7047-47,5G
240685551511866,467019825196,797873083564371,216.191.19.4,240,82,24082,83207974,95690116,69344260,240-82-8549,240-82-8549-86,5G
240995114701511,467066511524,495784855479803,107.150.219.161,240,14,24014,81566999,67433954,91570302,240-67-1584,240-68-1699-31,4G
240995610995711,467004677344,458097839772402,98.237.221.187,240,16,24016,31790409,17523966,26660008,240-16-4524,240-16-4524-19,4G
240842272785761,467056835838,491449569765086,221.254.87.192,240,62,24062,47695175,31510925,67115476,240-62-6645,240-62-6645-96,4G
240244156468053,467099640621,280324968754515,195.185.13.160,240,61,24061,75982831,10919192,75462711,240-20-4702,240-41-3046-10,3G
240562267052936,467010560239,384801609927401,137.23.211.92,240,46,24046,17499480,69001569,24257954,240-46-4397,240-45-2891-79,4G
240721628436497,467059319636,791208182981584,125.202.76.171,240,88,24088,31708400,35325695,48312718,240-88-5330,240-88-5330-24,4G
