IMSI,MSISDN,IMEI,IP_Address,MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI
24016XXXXXXXX,4670XXXXXXXX,73123515XXXXXXX,179.254.XXX.XXX,240,95,24095,97000000,15000000,14000000,240-95-XXXX,240-95-XXXX
24030XXXXXXXX,4670XXXXXXXX,51746937XXXXXXX,193.193.XXX.XXX,240,46,24046,63000000,36000000,20000000,240-46-XXXX,240-46-XXXX
24031XXXXXXXX,4670XXXXXXXX,68186525XXXXXXX,82.195.XXX.XXX,240,83,24083,97000000,46000000,92000000,240-83-XXXX,240-83-XXXX
24077XXXXXXXX,4670XXXXXXXX,53622663XXXXXXX,174.228.XXX.XXX,240,35,24035,47000000,90000000,47000000,240-35-XXXX,240-35-XXXX
24008XXXXXXXX,4670XXXXXXXX,51098277XXXXXXX,132.115.XXX.XXX,240,73,24073,67000000,83000000,54000000,240-73-XXXX,240-73-XXXX
24074XXXXXXXX,4670XXXXXXXX,47983442XXXXXXX,78.149.XXX.XXX,240,11,24011,50000000,11000000,81000000,240-11-XXXX,240-11-XXXX
24040XXXXXXXX,4670XXXXXXXX,74119726XXXXXXX,178.141.XXX.XXX,240,90,24090,94000000,17000000,30000000,240-90-XXXX,240-90-XXXX
24094XXXXXXXX,4670XXXXXXXX,50987442XXXXXXX,169.227.XXX.XXX,240,29,24029,93000000,38000000,45000000,240-29-XXXX,240-29-XXXX
24012XXXXXXXX,4670XXXXXXXX,19553585XXXXXXX,61.4.XXX.XXX,240,18,24018,83000000,40000000,96000000,240-18-XXXX,240-18-XXXX
24042XXXXXXXX,4670XXXXXXXX,68755000XXXXXXX,151.89.XXX.XXX,240,29,24029,43000000,13000000,22000000,240-29-XXXX,240-29-XXXX
24099XXXXXXXX,4670XXXXXXXX,64807553XXXXXXX,109.175.XXX.XXX,240,12,24012,76000000,48000000,98000000,240-12-XXXX,240-12-XXXX
24080XXXXXXXX,4670XXXXXXXX,93568503XXXXXXX,101.136.XXX.XXX,240,48,24048,27000000,48000000,68000000,240-48-XXXX,240-48-XXXX
24071XXXXXXXX,4670XXXXXXXX,49172995XXXXXXX,132.145.XXX.XXX,240,20,24020,71000000,83000000,29000000,240-20-XXXX,240-20-XXXX
24039XXXXXXXX,4670XXXXXXXX,82287061XXXXXXX,138.243.XXX.XXX,240,82,24082,71000000,53000000,35000000,240-82-XXXX,240-82-XXXX
24039XXXXXXXX,4670XXXXXXXX,69096899XXXXXXX,11.234.XXX.XXX,240,20,24020,97000000,30000000,20000000,240-20-XXXX,240-20-XXXX
24045XXXXXXXX,4670XXXXXXXX,68246664XXXXXXX,110.18.XXX.XXX,240,60,24060,16000000,53000000,17000000,240-60-XXXX,240-60-XXXX
24055XXXXXXXX,4670XXXXXXXX,29208935XXXXXXX,124.224.XXX.XXX,240,11,24011,72000000,48000000,83000000,240-11-XXXX,240-11-XXXX
24017XXXXXXXX,4670XXXXXXXX,49711319XXXXXXX,131.148.XXX.XXX,240,36,24036,16000000,91000000,76000000,240-36-XXXX,240-36-XXXX
24039XXXXXXXX,4670XXXXXXXX,53851498XXXXXXX,112.131.XXX.XXX,240,11,24011,81000000,77000000,46000000,240-11-XXXX,240-11-XXXX
24047XXXXXXXX,4670XXXXXXXX,71040347XXXXXXX,166.107.XXX.XXX,240,36,24036,41000000,73000000,13000000,240-36-XXXX,240-36-XXXX
24085XXXXXXXX,4670XXXXXXXX,28208520XXXXXXX,121.176.XXX.XXX,240,96,24096,30000000,65000000,97000000,240-96-XXXX,240-96-XXXX
24079XXXXXXXX,4670XXXXXXXX,35475673XXXXXXX,218.17.XXX.XXX,240,30,24030,16000000,54000000,42000000,240-30-XXXX,240-30-XXXX
24093XXXXXXXX,4670XXXXXXXX,24754064XXXXXXX,100.255.XXX.XXX,240,90,24090,53000000,12000000,33000000,240-90-XXXX,240-90-XXXX
24002XXXXXXXX,4670XXXXXXXX,50484137XXXXXXX,61.93.XXX.XXX,240,34,24034,24000000,75000000,69000000,240-34-XXXX,240-34-XXXX
24015XXXXXXXX,4670XXXXXXXX,67740376XXXXXXX,72.239.XXX.XXX,240,76,24076,40000000,65000000,55000000,240-76-XXXX,240-76-XXXX
24066XXXXXXXX,4670XXXXXXXX,84674816XXXXXXX,116.52.XXX.XXX,240,94,24094,65000000,57000000,99000000,240-94-XXXX,240-94-XXXX
24060XXXXXXXX,4670XXXXXXXX,47388792XXXXXXX,189.181.XXX.XXX,240,93,24093,96000000,84000000,13000000,240-93-XXXX,240-93-XXXX
24040XXXXXXXX,4670XXXXXXXX,60491958XXXXXXX,220.199.XXX.XXX,240,34,24034,53000000,86000000,90000000,240-34-XXXX,240-34-XXXX
24002XXXXXXXX,4670XXXXXXXX,67702031XXXXXXX,40.218.XXX.XXX,240,4,24004,16000000,39000000,63000000,240-04-XXXX,240-04-XXXX
24000XXXXXXXX,4670XXXXXXXX,77144075XXXXXXX,9.116.XXX.XXX,240,34,24034,12000000,71000000,20000000,240-34-XXXX,240-34-XXXX
24096XXXXXXXX,4670XXXXXXXX,68475513XXXXXXX,179.130.XXX.XXX,240,25,24025,55000000,39000000,54000000,240-25-XXXX,240-25-XXXX
24021XXXXXXXX,4670XXXXXXXX,97980930XXXXXXX,106.143.XXX.XXX,240,69,24069,70000000,85000000,96000000,240-69-XXXX,240-69-XXXX
24095XXXXXXXX,4670XXXXXXXX,15047559XXXXXXX,166.193.XXX.XXX,240,96,24096,89000000,78000000,61000000,240-96-XXXX,240-96-XXXX
24098XXXXXXXX,4670XXXXXXXX,15253567XXXXXXX,152.160.XXX.XXX,240,94,24094,31000000,58000000,60000000,240-94-XXXX,240-94-XXXX
24066XXXXXXXX,4670XXXXXXXX,99068509XXXXXXX,61.244.XXX.XXX,240,11,24011,21000000,51000000,85000000,240-11-XXXX,240-11-XXXX
24052XXXXXXXX,4670XXXXXXXX,20356922XXXXXXX,8.47.XXX.XXX,240,82,24082,98000000,55000000,92000000,240-82-XXXX,240-82-XXXX
24096XXXXXXXX,4670XXXXXXXX,42100652XXXXXXX,135.84.XXX.XXX,240,90,24090,71000000,47000000,61000000,240-90-XXXX,240-90-XXXX
24086XXXXXXXX,4670XXXXXXXX,70306604XXXXXXX,145.19.XXX.XXX,240,42,24042,56000000,13000000,65000000,240-42-XXXX,240-42-XXXX
24068XXXXXXXX,4670XXXXXXXX,72962895XXXXXXX,186.226.XXX.XXX,240,87,24087,38000000,30000000,83000000,240-87-XXXX,240-87-XXXX
24098XXXXXXXX,4670XXXXXXXX,12205915XXXXXXX,91.211.XXX.XXX,240,49,24049,10000000,92000000,57000000,240-49-XXXX,240-49-XXXX
24096XXXXXXXX,4670XXXXXXXX,44044361XXXXXXX,104.13.XXX.XXX,240,46,24046,88000000,54000000,27000000,240-46-XXXX,240-46-XXXX
24058XXXXXXXX,4670XXXXXXXX,79173614XXXXXXX,201.13.XXX.XXX,240,29,24029,48000000,57000000,16000000,240-29-XXXX,240-29-XXXX
24054XXXXXXXX,4670XXXXXXXX,67795113XXXXXXX,194.182.XXX.XXX,240,52,24052,20000000,54000000,98000000,240-52-XXXX,240-52-XXXX
24047XXXXXXXX,4670XXXXXXXX,31473054XXXXXXX,9.179.XXX.XXX,240,11,24011,19000000,41000000,96000000,240-11-XXXX,240-11-XXXX
24056XXXXXXXX,4670XXXXXXXX,43502308XXXXXXX,217.140.XXX.XXX,240,49,24049,85000000,25000000,45000000,240-49-XXXX,240-49-XXXX
24047XXXXXXXX,4670XXXXXXXX,82769008XXXXXXX,170.203.XXX.XXX,240,69,24069,40000000,26000000,36000000,240-69-XXXX,240-69-XXXX
24037XXXXXXXX,4670XXXXXXXX,64953237XXXXXXX,106.149.XXX.XXX,240,90,24090,72000000,79000000,56000000,240-90-XXXX,240-90-XXXX
24089XXXXXXXX,4670XXXXXXXX,20584397XXXXXXX,4.1.XXX.XXX,240,90,24090,92000000,81000000,22000000,240-90-XXXX,240-90-XXXX
24029XXXXXXXX,4670XXXXXXXX,92961108XXXXXXX,159.69.XXX.XXX,240,42,24042,42000000,64000000,49000000,240-42-XXXX,240-42-XXXX
24010XXXXXXXX,4670XXXXXXXX,85383550XXXXXXX,87.59.XXX.XXX,240,94,24094,70000000,43000000,28000000,240-94-XXXX,240-94-XXXX
24004XXXXXXXX,4670XXXXXXXX,13110670XXXXXXX,217.215.XXX.XXX,240,30,24030,88000000,57000000,16000000,240-30-XXXX,240-30-XXXX
24047XXXXXXXX,4670XXXXXXXX,85405783XXXXXXX,115.218.XXX.XXX,240,87,24087,77000000,70000000,83000000,240-87-XXXX,240-87-XXXX
24099XXXXXXXX,4670XXXXXXXX,15222944XXXXXXX,210.133.XXX.XXX,240,69,24069,91000000,79000000,28000000,240-69-XXXX,240-69-XXXX
24095XXXXXXXX,4670XXXXXXXX,24710878XXXXXXX,95.26.XXX.XXX,240,25,24025,45000000,97000000,87000000,240-25-XXXX,240-25-XXXX
24030XXXXXXXX,4670XXXXXXXX,30324759XXXXXXX,162.3.XXX.XXX,240,84,24084,18000000,28000000,79000000,240-84-XXXX,240-84-XXXX
24085XXXXXXXX,4670XXXXXXXX,84905122XXXXXXX,94.107.XXX.XXX,240,98,24098,52000000,74000000,56000000,240-98-XXXX,240-98-XXXX
24044XXXXXXXX,4670XXXXXXXX,37121108XXXXXXX,200.169.XXX.XXX,240,73,24073,92000000,88000000,42000000,240-73-XXXX,240-73-XXXX
24008XXXXXXXX,4670XXXXXXXX,48553376XXXXXXX,123.98.XXX.XXX,240,46,24046,81000000,15000000,33000000,240-46-XXXX,240-46-XXXX
24020XXXXXXXX,4670XXXXXXXX,28012011XXXXXXX,194.205.XXX.XXX,240,86,24086,31000000,71000000,97000000,240-86-XXXX,240-86-XXXX
24020XXXXXXXX,4670XXXXXXXX,53433080XXXXXXX,188.196.XXX.XXX,240,34,24034,45000000,54000000,50000000,240-34-XXXX,240-34-XXXX
24090XXXXXXXX,4670XXXXXXXX,39410942XXXXXXX,199.191.XXX.XXX,240,83,24083,65000000,83000000,73000000,240-83-XXXX,240-83-XXXX
24083XXXXXXXX,4670XXXXXXXX,30112846XXXXXXX,30.114.XXX.XXX,240,93,24093,88000000,75000000,22000000,240-93-XXXX,240-93-XXXX
24070XXXXXXXX,4670XXXXXXXX,19801857XXXXXXX,78.97.XXX.XXX,240,42,24042,19000000,73000000,14000000,240-42-XXXX,240-42-XXXX
24062XXXXXXXX,4670XXXXXXXX,27092236XXXXXXX,65.88.XXX.XXX,240,11,24011,66000000,81000000,60000000,240-11-XXXX,240-11-XXXX
24037XXXXXXXX,4670XXXXXXXX,90233330XXXXXXX,142.186.XXX.XXX,240,12,24012,82000000,39000000,17000000,240-12-XXXX,240-12-XXXX
24084XXXXXXXX,4670XXXXXXXX,89412216XXXXXXX,128.117.XXX.XXX,240,90,24090,96000000,61000000,80000000,240-90-XXXX,240-90-XXXX
24066XXXXXXXX,4670XXXXXXXX,81134297XXXXXXX,67.196.XXX.XXX,240,25,24025,96000000,20000000,70000000,240-25-XXXX,240-25-XXXX
24018XXXXXXXX,4670XXXXXXXX,12058055XXXXXXX,112.128.XXX.XXX,240,49,24049,37000000,63000000,42000000,240-49-XXXX,240-49-XXXX
24054XXXXXXXX,4670XXXXXXXX,65556767XXXXXXX,210.68.XXX.XXX,240,73,24073,84000000,88000000,87000000,240-73-XXXX,240-73-XXXX
24064XXXXXXXX,4670XXXXXXXX,32718459XXXXXXX,12.116.XXX.XXX,240,49,24049,80000000,14000000,19000000,240-49-XXXX,240-49-XXXX
24000XXXXXXXX,4670XXXXXXXX,10887495XXXXXXX,141.182.XXX.XXX,240,18,24018,46000000,81000000,48000000,240-18-XXXX,240-18-XXXX
24086XXXXXXXX,4670XXXXXXXX,71605634XXXXXXX,7.200.XXX.XXX,240,95,24095,22000000,64000000,60000000,240-95-XXXX,240-95-XXXX
24087XXXXXXXX,4670XXXXXXXX,16249441XXXXXXX,119.145.XXX.XXX,240,82,24082,52000000,12000000,37000000,240-82-XXXX,240-82-XXXX
24026XXXXXXXX,4670XXXXXXXX,68664992XXXXXXX,163.11.XXX.XXX,240,83,24083,63000000,53000000,13000000,240-83-XXXX,240-83-XXXX
24047XXXXXXXX,4670XXXXXXXX,30699187XXXXXXX,91.150.XXX.XXX,240,96,24096,22000000,10000000,51000000,240-96-XXXX,240-96-XXXX
24054XXXXXXXX,4670XXXXXXXX,90117857XXXXXXX,58.79.XXX.XXX,240,82,24082,62000000,21000000,85000000,240-82-XXXX,240-82-XXXX
24098XXXXXXXX,4670XXXXXXXX,20324210XXXXXXX,17.187.XXX.XXX,240,46,24046,36000000,71000000,24000000,240-46-XXXX,240-46-XXXX
24040XXXXXXXX,4670XXXXXXXX,33842070XXXXXXX,134.76.XXX.XXX,240,90,24090,53000000,60000000,47000000,240-90-XXXX,240-90-XXXX
24051XXXXXXXX,4670XXXXXXXX,42483531XXXXXXX,85.183.XXX.XXX,240,48,24048,90000000,74000000,88000000,240-48-XXXX,240-48-XXXX
24088XXXXXXXX,4670XXXXXXXX,67774765XXXXXXX,161.191.XXX.XXX,240,48,24048,79000000,84000000,87000000,240-48-XXXX,240-48-XXXX
24093XXXXXXXX,4670XXXXXXXX,56751880XXXXXXX,115.11.XXX.XXX,240,20,24020,56000000,73000000,23000000,240-20-XXXX,240-20-XXXX
24075XXXXXXXX,4670XXXXXXXX,72015859XXXXXXX,5.31.XXX.XXX,240,82,24082,13000000,92000000,36000000,240-82-XXXX,240-82-XXXX
24096XXXXXXXX,4670XXXXXXXX,75697427XXXXXXX,49.211.XXX.XXX,240,82,24082,88000000,25000000,56000000,240-82-XXXX,240-82-XXXX
24079XXXXXXXX,4670XXXXXXXX,66135102XXXXXXX,18.105.XXX.XXX,240,11,24011,75000000,95000000,82000000,240-11-XXXX,240-11-XXXX
24028XXXXXXXX,4670XXXXXXXX,77838742XXXXXXX,19.34.XXX.XXX,240,20,24020,32000000,21000000,85000000,240-20-XXXX,240-20-XXXX
24034XXXXXXXX,4670XXXXXXXX,59239353XXXXXXX,64.241.XXX.XXX,240,95,24095,23000000,97000000,43000000,240-95-XXXX,240-95-XXXX
24007XXXXXXXX,4670XXXXXXXX,17966873XXXXXXX,194.242.XXX.XXX,240,80,24080,32000000,53000000,49000000,240-80-XXXX,240-80-XXXX
24094XXXXXXXX,4670XXXXXXXX,94879557XXXXXXX,111.197.XXX.XXX,240,11,24011,64000000,79000000,47000000,240-11-XXXX,240-11-XXXX
24057XXXXXXXX,4670XXXXXXXX,48063218XXXXXXX,28.213.XXX.XXX,240,20,24020,56000000,16000000,16000000,240-20-XXXX,240-20-XXXX
24070XXXXXXXX,4670XXXXXXXX,99188862XXXXXXX,213.68.XXX.XXX,240,30,24030,97000000,22000000,22000000,240-30-XXXX,240-30-XXXX
24037XXXXXXXX,4670XXXXXXXX,21989814XXXXXXX,56.252.XXX.XXX,240,82,24082,61000000,27000000,96000000,240-82-XXXX,240-82-XXXX
24021XXXXXXXX,4670XXXXXXXX,26529882XXXXXXX,123.163.XXX.XXX,240,12,24012,43000000,47000000,96000000,240-12-XXXX,240-12-XXXX
24038XXXXXXXX,4670XXXXXXXX,61792685XXXXXXX,63.37.XXX.XXX,240,4,24004,11000000,58000000,52000000,240-04-XXXX,240-04-XXXX
24069XXXXXXXX,4670XXXXXXXX,48451741XXXXXXX,108.191.XXX.XXX,240,90,24090,82000000,92000000,30000000,240-90-XXXX,240-90-XXXX
24014XXXXXXXX,4670XXXXXXXX,25567455XXXXXXX,112.239.XXX.XXX,240,69,24069,26000000,11000000,28000000,240-69-XXXX,240-69-XXXX
24002XXXXXXXX,4670XXXXXXXX,45292504XXXXXXX,131.230.XXX.XXX,240,20,24020,17000000,77000000,86000000,240-20-XXXX,240-20-XXXX
24052XXXXXXXX,4670XXXXXXXX,14746418XXXXXXX,177.212.XXX.XXX,240,36,24036,52000000,46000000,20000000,240-36-XXXX,240-36-XXXX
24051XXXXXXXX,4670XXXXXXXX,59515518XXXXXXX,94.131.XXX.XXX,240,84,24084,72000000,59000000,89000000,240-84-XXXX,240-84-XXXX
24038XXXXXXXX,4670XXXXXXXX,41966313XXXXXXX,10.132.XXX.XXX,240,82,24082,15000000,41000000,79000000,240-82-XXXX,240-82-XXXX
24057XXXXXXXX,4670XXXXXXXX,62741214XXXXXXX,69.32.XXX.XXX,240,86,24086,37000000,28000000,88000000,240-86-XXXX,240-86-XXXX
24021XXXXXXXX,4670XXXXXXXX,50831043XXXXXXX,169.17.XXX.XXX,240,30,24030,43000000,57000000,63000000,240-30-XXXX,240-30-XXXX
24004XXXXXXXX,4670XXXXXXXX,27544302XXXXXXX,143.13.XXX.XXX,240,42,24042,44000000,20000000,12000000,240-42-XXXX,240-42-XXXX
24037XXXXXXXX,4670XXXXXXXX,57505459XXXXXXX,47.193.XXX.XXX,240,76,24076,14000000,92000000,93000000,240-76-XXXX,240-76-XXXX
24034XXXXXXXX,4670XXXXXXXX,58199211XXXXXXX,130.139.XXX.XXX,240,96,24096,53000000,62000000,46000000,240-96-XXXX,240-96-XXXX
24005XXXXXXXX,4670XXXXXXXX,17503932XXXXXXX,154.212.XXX.XXX,240,90,24090,41000000,89000000,52000000,240-90-XXXX,240-90-XXXX
24059XXXXXXXX,4670XXXXXXXX,90753812XXXXXXX,148.63.XXX.XXX,240,33,24033,92000000,37000000,27000000,240-33-XXXX,240-33-XXXX
24025XXXXXXXX,4670XXXXXXXX,28314232XXXXXXX,205.162.XXX.XXX,240,85,24085,92000000,57000000,39000000,240-85-XXXX,240-85-XXXX
24092XXXXXXXX,4670XXXXXXXX,23973438XXXXXXX,148.27.XXX.XXX,240,18,24018,52000000,32000000,95000000,240-18-XXXX,240-18-XXXX
24057XXXXXXXX,4670XXXXXXXX,60829941XXXXXXX,118.85.XXX.XXX,240,4,24004,97000000,40000000,31000000,240-04-XXXX,240-04-XXXX
24010XXXXXXXX,4670XXXXXXXX,74791834XXXXXXX,83.51.XXX.XXX,240,82,24082,17000000,23000000,54000000,240-82-XXXX,240-82-XXXX
24036XXXXXXXX,4670XXXXXXXX,67392300XXXXXXX,18.82.XXX.XXX,240,98,24098,13000000,37000000,32000000,240-98-XXXX,240-98-XXXX
24041XXXXXXXX,4670XXXXXXXX,15988382XXXXXXX,70.102.XXX.XXX,240,96,24096,85000000,18000000,30000000,240-96-XXXX,240-96-XXXX
24011XXXXXXXX,4670XXXXXXXX,20597167XXXXXXX,77.164.XXX.XXX,240,93,24093,93000000,29000000,26000000,240-93-XXXX,240-93-XXXX
24072XXXXXXXX,4670XXXXXXXX,84673939XXXXXXX,10.30.XXX.XXX,240,93,24093,11000000,93000000,88000000,240-93-XXXX,240-93-XXXX
24061XXXXXXXX,4670XXXXXXXX,97884113XXXXXXX,204.140.XXX.XXX,240,5,24005,46000000,64000000,29000000,240-05-XXXX,240-05-XXXX
24096XXXXXXXX,4670XXXXXXXX,28036919XXXXXXX,219.211.XXX.XXX,240,96,24096,96000000,21000000,35000000,240-96-XXXX,240-96-XXXX
24036XXXXXXXX,4670XXXXXXXX,36941091XXXXXXX,60.11.XXX.XXX,240,82,24082,36000000,46000000,59000000,240-82-XXXX,240-82-XXXX
24086XXXXXXXX,4670XXXXXXXX,48261364XXXXXXX,174.107.XXX.XXX,240,94,24094,39000000,96000000,40000000,240-94-XXXX,240-94-XXXX
24034XXXXXXXX,4670XXXXXXXX,56802956XXXXXXX,128.128.XXX.XXX,240,12,24012,93000000,63000000,88000000,240-12-XXXX,240-12-XXXX
24008XXXXXXXX,4670XXXXXXXX,30123169XXXXXXX,147.41.XXX.XXX,240,30,24030,28000000,13000000,97000000,240-30-XXXX,240-30-XXXX
24044XXXXXXXX,4670XXXXXXXX,34311643XXXXXXX,204.212.XXX.XXX,240,82,24082,34000000,55000000,97000000,240-82-XXXX,240-82-XXXX
24035XXXXXXXX,4670XXXXXXXX,73380252XXXXXXX,205.19.XXX.XXX,240,4,24004,65000000,17000000,30000000,240-04-XXXX,240-04-XXXX
24035XXXXXXXX,4670XXXXXXXX,32629881XXXXXXX,120.219.XXX.XXX,240,90,24090,68000000,95000000,67000000,240-90-XXXX,240-90-XXXX
24067XXXXXXXX,4670XXXXXXXX,27304799XXXXXXX,180.249.XXX.XXX,240,48,24048,18000000,16000000,50000000,240-48-XXXX,240-48-XXXX
24078XXXXXXXX,4670XXXXXXXX,12941149XXXXXXX,124.215.XXX.XXX,240,11,24011,60000000,95000000,44000000,240-11-XXXX,240-11-XXXX
24089XXXXXXXX,4670XXXXXXXX,94598956XXXXXXX,182.131.XXX.XXX,240,69,24069,93000000,91000000,28000000,240-69-XXXX,240-69-XXXX
24018XXXXXXXX,4670XXXXXXXX,15288944XXXXXXX,144.229.XXX.XXX,240,86,24086,10000000,11000000,21000000,240-86-XXXX,240-86-XXXX
24097XXXXXXXX,4670XXXXXXXX,58347193XXXXXXX,12.4.XXX.XXX,240,4,24004,28000000,99000000,96000000,240-04-XXXX,240-04-XXXX
24055XXXXXXXX,4670XXXXXXXX,25174194XXXXXXX,209.160.XXX.XXX,240,36,24036,74000000,86000000,68000000,240-36-XXXX,240-36-XXXX
24096XXXXXXXX,4670XXXXXXXX,85834657XXXXXXX,91.27.XXX.XXX,240,90,24090,68000000,98000000,43000000,240-90-XXXX,240-90-XXXX
24056XXXXXXXX,4670XXXXXXXX,16757958XXXXXXX,172.90.XXX.XXX,240,60,24060,20000000,71000000,69000000,240-60-XXXX,240-60-XXXX
24071XXXXXXXX,4670XXXXXXXX,95568918XXXXXXX,72.95.XXX.XXX,240,84,24084,58000000,17000000,39000000,240-84-XXXX,240-84-XXXX
24058XXXXXXXX,4670XXXXXXXX,16144233XXXXXXX,144.195.XXX.XXX,240,94,24094,91000000,36000000,35000000,240-94-XXXX,240-94-XXXX
24063XXXXXXXX,4670XXXXXXXX,16519170XXXXXXX,111.17.XXX.XXX,240,4,24004,87000000,33000000,27000000,240-04-XXXX,240-04-XXXX
24069XXXXXXXX,4670XXXXXXXX,78759020XXXXXXX,7.107.XXX.XXX,240,30,24030,38000000,93000000,49000000,240-30-XXXX,240-30-XXXX
24052XXXXXXXX,4670XXXXXXXX,24290224XXXXXXX,2.114.XXX.XXX,240,12,24012,45000000,31000000,48000000,240-12-XXXX,240-12-XXXX
24042XXXXXXXX,4670XXXXXXXX,99186817XXXXXXX,73.138.XXX.XXX,240,12,24012,17000000,11000000,43000000,240-12-XXXX,240-12-XXXX
24097XXXXXXXX,4670XXXXXXXX,15453834XXXXXXX,6.244.XXX.XXX,240,36,24036,88000000,44000000,10000000,240-36-XXXX,240-36-XXXX
24072XXXXXXXX,4670XXXXXXXX,79874593XXXXXXX,137.122.XXX.XXX,240,85,24085,64000000,22000000,56000000,240-85-XXXX,240-85-XXXX
24035XXXXXXXX,4670XXXXXXXX,15352233XXXXXXX,17.86.XXX.XXX,240,12,24012,47000000,13000000,79000000,240-12-XXXX,240-12-XXXX
24058XXXXXXXX,4670XXXXXXXX,99970857XXXXXXX,34.141.XXX.XXX,240,69,24069,96000000,19000000,30000000,240-69-XXXX,240-69-XXXX
24075XXXXXXXX,4670XXXXXXXX,52467059XXXXXXX,214.184.XXX.XXX,240,95,24095,18000000,88000000,16000000,240-95-XXXX,240-95-XXXX
24015XXXXXXXX,4670XXXXXXXX,62478133XXXXXXX,134.148.XXX.XXX,240,20,24020,84000000,84000000,28000000,240-20-XXXX,240-20-XXXX
24000XXXXXXXX,4670XXXXXXXX,92796892XXXXXXX,58.2.XXX.XXX,240,4,24004,83000000,71000000,96000000,240-04-XXXX,240-04-XXXX
24014XXXXXXXX,4670XXXXXXXX,75211190XXXXXXX,193.79.XXX.XXX,240,73,24073,85000000,86000000,58000000,240-73-XXXX,240-73-XXXX
24062XXXXXXXX,4670XXXXXXXX,24607269XXXXXXX,215.147.XXX.XXX,240,25,24025,36000000,45000000,94000000,240-25-XXXX,240-25-XXXX
24010XXXXXXXX,4670XXXXXXXX,39971710XXXXXXX,213.170.XXX.XXX,240,76,24076,22000000,63000000,58000000,240-76-XXXX,240-76-XXXX
24003XXXXXXXX,4670XXXXXXXX,18437082XXXXXXX,208.203.XXX.XXX,240,42,24042,58000000,62000000,73000000,240-42-XXXX,240-42-XXXX
24000XXXXXXXX,4670XXXXXXXX,60509993XXXXXXX,109.80.XXX.XXX,240,94,24094,74000000,91000000,10000000,240-94-XXXX,240-94-XXXX
24027XXXXXXXX,4670XXXXXXXX,74628070XXXXXXX,189.44.XXX.XXX,240,42,24042,13000000,42000000,15000000,240-42-XXXX,240-42-XXXX
24099XXXXXXXX,4670XXXXXXXX,21508969XXXXXXX,163.248.XXX.XXX,240,90,24090,39000000,65000000,90000000,240-90-XXXX,240-90-XXXX
24092XXXXXXXX,4670XXXXXXXX,80157128XXXXXXX,120.221.XXX.XXX,240,29,24029,73000000,92000000,90000000,240-29-XXXX,240-29-XXXX
