Real_Name,MSISDN,Known_TAC,Known_LAI,Known_Network
Linda Potts,46738344396,35638963,240-32-3544,4G
Alexander Howard,46727174207,86295251,240-36-7832,5G
Jason Walsh,46788014948,10018289,240-76-2308,3G
Traci Parker,46795295097,86414842,240-16-6864,5G
Jean Williamson,46739171318,35733955,240-32-2009,4G
Cassandra Larson MD,46736792653,35894585,240-68-6588,4G
Alexis Jones,46768835615,35251924,240-84-7285,4G
Christopher Macdonald,46714407577,35353923,240-10-1785,4G
Chris Wolfe,46764561157,86260513,240-61-8196,4G
Jacob Coffey,46760506042,10930405,240-34-3368,3G
Brandon Patterson,46799097673,35998748,240-92-8643,4G
Kyle Herrera,46715665568,10913878,240-18-3021,3G
Victoria Raymond,46757866566,35430036,240-34-6202,4G
Sharon Hernandez,46749544969,10653261,240-45-9706,3G
Robert Glover,46710343853,10810713,240-53-1688,3G
Ivan Burgess,46736442970,86508401,240-12-7621,5G
Veronica Anderson,46752121037,86365656,240-33-5143,5G
Ricky Kim,46736051228,86900004,240-15-3533,5G
Michael Payne,46752916940,35382468,240-69-9886,4G
James Watson,46759114107,35131373,240-70-2060,4G
Cassandra Love,46721186361,35197133,240-21-4591,4G
Vanessa Flores,46789117906,35769640,240-12-6430,4G
Matthew Boyd,46720676016,86572281,240-10-3675,5G
Anthony Smith,46786826001,35875551,240-87-4107,4G
Dana Bradley,46790446009,35709914,240-85-6131,4G
Lisa Jones,46732858114,35317455,240-62-3263,4G
Tami Berg,46760387466,35889064,240-81-4501,4G
Richard Kelly,46748080378,86651503,240-43-3444,5G
Hannah Roberts,46734712574,35773358,240-66-5014,4G
Kristin Ray,46734577328,86101428,240-11-2557,5G
Teresa Smith,46793417303,35044459,240-20-9855,4G
Robert Butler,46740494927,86944328,240-24-5899,5G
Tammy Holland,46725170521,35682705,240-64-6468,4G
Jill Wright,46759249172,35285129,240-60-3046,4G
Thomas Fry,46749711170,86584010,240-25-9160,4G
Zachary Rivers,46734362375,86225371,240-30-8179,4G
Russell Perry,46792723310,35226833,240-42-3057,4G
Amber Collins,46788814477,35384090,240-55-4534,4G
John Castro,46771377257,86814456,240-86-9235,4G
Isaiah White,46730684007,86185426,240-61-2083,5G
Michael Jones,46727538304,35303150,240-12-5465,4G
Katie Franklin,46770269099,86984789,240-71-8483,4G
Kevin Roberts,46782668141,35116492,240-45-6189,4G
Ryan Brooks,46731021613,35946152,240-68-7066,4G
Ashley Erickson,46730222214,35304132,240-89-5301,4G
Jaclyn Lloyd,46733022401,86596729,240-52-8573,4G
Calvin Moon,46752031539,35647844,240-17-9516,4G
Andrea Price,46788415433,35183552,240-79-3180,4G
Thomas Martin,46757923631,86827492,240-75-7195,5G
Thomas Rice,46758285213,86229186,240-37-9998,4G
Joseph Alvarez,46732538132,35339136,240-51-1227,4G
Rachel Salazar,46760469381,35751117,240-79-6869,4G
Jimmy Smith,46790176475,35598598,240-90-9939,4G
Alan Martin,46775278805,35082009,240-54-6884,4G
Tanya Elliott,46756744015,35263356,240-98-5412,4G
Cindy Robertson,46728310971,86815037,240-88-8248,4G
Sharon Jones,46792000616,35502063,240-72-4063,4G
Tiffany Chan,46780477107,35073012,240-18-3570,4G
Susan Hall,46763618991,10171792,240-71-8087,3G
Sarah Ramos,46740242610,35553185,240-34-9235,4G
Benjamin Dunlap,46715030823,86433288,240-41-4974,5G
Lauren Lee,46798219706,35992663,240-63-9318,4G
Allison White,46765099556,35904352,240-78-7814,4G
Kara Roberts,46766226028,35393359,240-56-4233,4G
Michael Garrison,46741507542,86146874,240-91-2256,5G
Elizabeth Patterson,46798835411,35633389,240-38-1597,4G
Melissa Reed,46713212726,86018394,240-84-2237,5G
Kevin Taylor,46779070841,35453449,240-80-7059,4G
Susan Mitchell,46757786250,35650052,240-24-9417,4G
Casey Salazar,46747333769,35208606,240-21-2936,4G
Thomas Harris,46780036964,35300856,240-95-3575,4G
Jacob Riley,46782193785,35887225,240-19-8390,4G
Eric Lewis,46752990149,35821368,240-30-2729,4G
Amanda Walls,46794178512,35074215,240-77-3486,4G
Rachel Crosby,46790264132,86822929,240-72-5094,5G
Kimberly Gonzalez,46784080848,10121789,240-13-4261,3G
Michael Chen,46745259675,35921134,240-14-7207,4G
Chad James,46776378426,35233094,240-95-5590,4G
Gregory Thomas,46789049497,35208445,240-49-7095,4G
Jason Crawford,46758802016,86478243,240-69-8757,4G
Robert Rivera,46734444321,86768734,240-44-9356,4G
Lawrence Anderson,46715482177,35268853,240-94-3936,4G
Kathy Jackson,46794215212,35641406,240-28-2169,4G
Amber Vazquez,46729773711,35076323,240-17-3384,4G
Charles Washington,46721025374,35062586,240-83-1376,4G
Katie Smith,46795941488,35200211,240-43-7446,4G
Stephanie Pitts,46713592112,35271683,240-22-8784,4G
Michael Jones,46732823984,10622851,240-60-8697,3G
Richard Vasquez,46792262407,35928399,240-90-9641,4G
Nicole Adams,46760143555,35413360,240-37-9494,4G
Brandon Graham,46761440499,35695078,240-82-2881,4G
Brianna Hart,46734224396,35807548,240-65-9365,4G
Julie Holder,46715510285,86903612,240-54-2177,5G
Katherine Thompson,46720089617,10564204,240-33-2781,3G
Janet Hill,46754325833,86926289,240-50-9200,4G
Lauren Perez,46726687403,35814702,240-60-3741,4G
Robert Lawrence,46731595887,86012636,240-48-4302,5G
April Heath,46783048328,35392278,240-86-2158,4G
David Johnson,46712779203,35132876,240-91-2565,4G
Jill Ewing,46794269718,35950961,240-18-8050,4G
Teresa Edwards,46788471267,35356014,240-82-5019,4G
Brian Winters,46713160556,86948618,240-66-2025,5G
Michelle Mejia,46795000180,10969655,240-80-3313,3G
Christopher Vincent,46735861356,86477697,240-68-4278,5G
Randy Turner,46777753202,35284190,240-13-9168,4G
Katherine Jimenez,46757756503,86088908,240-55-9904,4G
Kimberly Young,46717297702,35486793,240-33-9505,4G
Lydia Mora,46761590272,10829827,240-54-4046,3G
Natalie Austin,46758846742,86406770,240-84-1296,5G
Justin Terry,46765122490,35728659,240-81-3136,4G
Jessica Cox,46795607187,10913490,240-98-4931,3G
Tina Smith,46795949451,35392647,240-57-1140,4G
Mr. Patrick Montgomery,46792946389,35996933,240-57-1137,4G
Kevin Mccarthy,46749972577,86164033,240-87-8712,4G
Catherine Bautista,46761020735,35227976,240-37-9207,4G
Jennifer Franklin,46767290806,10850941,240-69-4603,3G
Matthew Joseph,46784484253,35587853,240-96-3045,4G
Mariah Farmer,46782860001,35389139,240-93-9418,4G
Michael Hicks,46752596461,35875969,240-35-2482,4G
Sheila Lin DDS,46779200135,86706833,240-77-6719,5G
Shannon Montgomery,46735225022,86126889,240-39-2752,5G
Caitlin Stanley,46761611034,35388622,240-89-5393,4G
Sara Jackson,46758522880,35866332,240-22-9117,4G
Kathryn Johnson,46743577814,35056440,240-37-2614,4G
Toni Carroll,46742946723,35805488,240-31-4480,4G
Susan Hall,46713070508,35846302,240-27-6400,4G
Krista Moore,46758867437,10792205,240-19-2799,3G
Michelle Hurst,46718139023,35048503,240-89-1037,4G
Ms. Jasmine Brown DDS,46744745359,35059672,240-14-5897,4G
David Carroll,46784202990,10198824,240-83-9346,3G
Thomas White,46726431928,86871061,240-96-6295,5G
Christopher Wilson,46725617466,86533807,240-63-7897,5G
Dale Hamilton,46754278536,86791269,240-26-1522,5G
Mrs. Beth Taylor MD,46718091363,35409291,240-30-5078,4G
Michael Gray,46786765060,35839912,240-71-4983,4G
Jason Singleton,46782892745,86452385,240-53-6594,5G
Thomas Dawson,46791718171,35132028,240-83-8005,4G
Natalie Frank,46716971631,86975415,240-30-5725,5G
Brandon Brown,46767805563,10477095,240-68-2734,3G
Deanna Watson,46718954580,35941069,240-28-2903,4G
Megan Russell,46786074194,35758177,240-94-4982,4G
Richard Knight,46758123477,35065029,240-19-9325,4G
Jeanne Jones,46768832876,10782129,240-22-9843,3G
Chelsea Davis,46726957698,35022727,240-96-5604,4G
Marc Bishop PhD,46726656913,86067114,240-22-1059,5G
Tara Rogers,46711912584,35606177,240-12-2177,4G
Anthony Wong,46796453897,86838152,240-67-5453,5G
Ian Williams,46786756434,35813038,240-34-7501,4G
Ryan Elliott,46738345451,35561302,240-61-3004,4G
Christopher Armstrong,46792788852,86662342,240-90-5440,5G
Amber Welch,46768282952,86287776,240-96-7421,5G
William Curtis,46716579060,35064442,240-72-9679,4G
Barry Johnson,46734247687,10060155,240-85-9471,3G
Caleb Brown,46721465773,35197118,240-55-9348,4G
Samantha Freeman,46734643087,35860664,240-21-1532,4G
Eduardo Castillo,46734919381,35064361,240-21-5327,4G
Janice Perry,46719424504,86740575,240-71-5674,5G
Jeremy Mcdonald,46768334631,10311406,240-50-3196,3G
Peter Lane,46716226767,35271773,240-51-5571,4G
Kristopher Bradshaw,46768768471,10541106,240-81-4952,3G
Kelly Ramos,46736718114,86076350,240-60-5576,5G
Adam Bennett,46779261123,86538411,240-84-5635,5G
Susan Brown,46779249864,35497402,240-89-3199,4G
Joanna Bell,46750131083,35319278,240-28-1329,4G
Morgan Herring,46782029715,35111889,240-59-8069,4G
Christina Fox,46759844596,35115148,240-52-4731,4G
Tiffany Hernandez,46792275136,35215796,240-89-3154,4G
Gwendolyn Massey,46790578376,35800431,240-25-9995,4G
Deanna Knight,46786418726,35394710,240-32-6813,4G
Peggy Marsh,46781501220,86971400,240-16-8183,4G
Andrea Myers,46721356839,10552935,240-95-4480,3G
Edward Barron,46765722666,86931379,240-13-3845,5G
Jennifer Ochoa,46795227349,10400084,240-28-4774,3G
Stacy Ramos,46758176660,35652064,240-72-2091,4G
Susan Farrell,46747203676,35392670,240-76-6626,4G
Tabitha Burgess,46754965997,35218605,240-88-1069,4G
Sabrina Harris,46779278454,10671320,240-24-9419,3G
Michael Myers,46730475511,86589397,240-96-3211,5G
Diana Powell,46777411910,35835276,240-97-2095,4G
Ashley Jensen,46710729525,35662246,240-24-1289,4G
Michelle Wade,46794732542,86836971,240-49-5581,5G
Sabrina Mays,46725380446,35557600,240-24-3945,4G
Brooke Norman,46738673389,86157234,240-93-7253,5G
Carol Wilson,46758236011,35753624,240-64-8686,4G
Tyler Huff,46780231815,35448625,240-38-6238,4G
Kevin Adams,46789732469,35288389,240-73-1771,4G
Sharon Guzman,46770279855,86466985,240-68-6048,5G
Karen Brown,46770865831,35773416,240-87-7121,4G
Sabrina Montes,46746646652,35196274,240-11-5956,4G
Melissa Parker,46757980339,35700606,240-78-6214,4G
Matthew Alexander,46716805060,35784560,240-32-1887,4G
Timothy Smith,46740522239,10745097,240-69-2100,3G
Cindy Perez,46730438848,86499600,240-64-5326,5G
Peter Curtis,46792742872,35461347,240-23-1449,4G
Laurie White,46796444892,86346297,240-80-2398,5G
Amy Trevino,46751859263,35445150,240-19-6462,4G
Ashley Allen,46792607306,86907122,240-41-2102,5G
Kyle Mcdonald,46730438168,35056557,240-14-3858,4G
Edward Anderson,46788774891,35159476,240-70-7262,4G
Katrina Logan,46737413661,10448934,240-78-6057,3G
Whitney Lynch,46722476500,35037555,240-95-3076,4G
Richard Gray,46714350977,35470992,240-26-4558,4G
Shawn Fox,46733717838,86879319,240-54-1260,5G
John Fisher,46740676863,35052832,240-12-3056,4G
Jody Wells,46750476415,35291464,240-87-9588,4G
Kathryn Cox,46735217193,35593795,240-78-4077,4G
Bradley Williams,46739404164,10453510,240-29-7928,3G
John Jones,46749649113,35081845,240-98-4846,4G
Edward Montgomery,46775165017,10062408,240-18-4597,3G
Nicole Jackson,46799106523,35641679,240-88-6242,4G
Tamara Chapman,46766188822,86328549,240-45-9436,4G
Paul Harrison,46720196894,35898488,240-87-8016,4G
Hector Walker,46728654154,35209847,240-66-4749,4G
Ryan Compton,46781102209,10527857,240-82-2634,3G
James White,46735087742,35076092,240-95-2272,4G
Michael Wyatt PhD,46714672412,35393605,240-92-3240,4G
Heather Hansen,46721490235,86610355,240-59-2806,5G
Heather Miller,46733663191,35602265,240-84-2224,4G
Kimberly Horn,46766869518,10162433,240-68-5839,3G
Kenneth Hines,46792637240,10944119,240-24-6589,3G
Roberto Parker,46729508258,10694358,240-80-1209,3G
Joshua Rowe,46777058544,86917191,240-62-7097,5G
Matthew Williams,46790545599,35961030,240-71-4093,4G
Shelley Smith,46787869165,10431599,240-57-9974,3G
Chloe Vaughan,46789251561,86646795,240-21-3735,5G
Yolanda Long,46771985998,35290832,240-27-4405,4G
Jacqueline Ferguson,46784207187,35417847,240-37-3545,4G
Erin Mason,46742007970,10545714,240-92-9450,3G
Gerald Rivera,46782892046,10898850,240-44-9632,3G
Nicholas Harmon,46737012397,35739628,240-87-1162,4G
David Taylor,46752354567,35285551,240-94-5708,4G
Nicole Freeman MD,46771400752,35451965,240-85-1211,4G
Oscar Mills,46731471789,10157481,240-64-6217,3G
Kevin Mcbride,46762806902,86634438,240-53-3985,5G
Jessica Rodriguez,46782883476,86789999,240-37-7771,5G
Jody Rojas,46726798395,86592145,240-77-7623,5G
Mrs. Tamara Odonnell,46788380931,86590480,240-43-1930,5G
Catherine White,46753293890,86114456,240-21-3077,5G
Jamie Smith DVM,46725168970,86122118,240-63-9353,4G
Bryan Adams,46736881469,86033596,240-96-5741,5G
Kimberly Pennington,46713695961,86529525,240-71-1512,5G
Andrew Sims,46789525367,35033341,240-88-6825,4G
Teresa Rose,46767151550,35374673,240-45-6235,4G
Steven Freeman,46754097518,86100050,240-18-2637,5G
Jennifer Curry,46747277080,86372838,240-67-8601,4G
Craig Ellis,46757996982,10466032,240-44-6528,3G
Scott Fernandez,46773715908,35806811,240-83-5467,4G
Shannon Cross,46787565263,35283817,240-85-8952,4G
Richard Mcguire,46794415430,86789129,240-67-2249,5G
Leah Rios,46792362831,35840350,240-30-4622,4G
