IMSI,MSISDN,IMEI,IP_Address,Timestamp,MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI,Network_Type,Device_Type,Linkage_Index
240249755231491,467257759492,859071059556205,88.147.250.146,260313192120+0100,240,24,24024,18260266,17433169,24633895,240-24-5762,240-24-5762-95,3G,Smartphone,71
3104103350851127,141581626985,332894620566059,99.201.196.60,260406101310-0500,310,410,310410,88922933,89164390,77992115,310-410-1424,310-410-1424-41,5G,Tablet,2203
206059751315463,324876213606,298034809494472,157.60.204.64,260401233822+0200,206,05,20605,56442009,46731790,29535316,206-05-1977,206-05-1977-64,4G,Smartphone,2057
3104106512054152,161707864770,252452576962023,183.196.139.247,260402044237-0800,310,410,310410,76479488,82760444,73422474,310-410-5264,310-410-5264-41,5G,Tablet,1728
234152311127128,447524648449,450978271163187,98.50.19.98,260406125606+0100,234,15,23415,56737333,54265272,67388764,234-15-7866,234-15-7866-35,3G,IoT Device,346
240164369709317,467069556076,697708526164534,67.196.150.120,260402080211+0100,240,16,24016,22300878,18719424,26056827,240-16-8140,240-16-8140-37,5G,Smartphone,385
206207062587360,324905582262,372275051675011,169.97.72.75,260405104511+0100,206,20,20620,42418238,36642648,53525102,206-20-8749,206-20-8749-91,4G,Smartphone,1234
234105503847106,447897317367,300018643101094,143.123.234.18,260408081541+0000,234,10,23410,61856377,69372411,65592625,234-10-2592,234-10-2592-87,3G,IoT Device,2286
234307951181216,447525081595,907537570431507,84.201.0.127,260402202655+0100,234,30,23430,79125855,52370224,76034299,234-30-2140,234-30-2140-87,5G,Tablet,1170
206107431926219,324831457265,504804902586601,71.66.242.111,260405221243+0100,206,10,20610,49128332,53024995,49500558,206-10-9117,206-10-9117-42,4G,Smartphone,2260
234389597703170,447568258320,189890654354563,159.111.210.240,260407074740+0100,234,38,23438,76360447,63289263,65798398,234-38-3463,234-38-3463-92,3G,Tablet,1356
3102601341350334,151207496875,698412364465448,9.48.117.21,260402203415-0800,310,260,310260,74778485,73855416,99579990,310-260-1266,310-260-1266-88,3G,Smartphone,1462
206010422593323,324914331616,645081659744697,168.218.64.137,260402151310+0100,206,01,20601,31331048,46365771,28841149,206-01-9004,206-01-9004-40,4G,Tablet,1372
206107497847522,324915515624,924360099372995,11.174.136.146,260406132208+0100,206,10,20610,56956166,54373807,48150066,206-10-8905,206-10-8905-98,4G,Tablet,2322
234336968928697,447879348596,351954265722315,75.165.72.181,260405185135+0100,234,33,23433,54250143,72549592,63511429,234-33-8138,234-33-8138-35,4G,Smartphone,2157
240161728642136,467017147222,915142534531965,37.40.47.50,260407184457+0200,240,16,24016,12729388,22899455,19463992,240-16-3977,240-16-3977-40,4G,Smartphone,1778
240042939077372,467954503801,666009752585150,24.187.226.214,260407203238+0200,240,04,24004,32702393,14451171,10163261,240-04-4681,240-04-4681-37,3G,Smartphone,716
3104104172050465,151284666271,374610491240132,76.240.34.252,260404033620-0800,310,410,310410,83307937,81553082,81459041,310-410-3223,310-410-3223-63,5G,Smartphone,2582
3104801170272935,141597328687,186705247750248,114.35.25.5,260403150033-0700,310,480,310480,76500770,90130660,72735097,310-480-3697,310-480-3697-34,4G,Smartphone,2684
206107147859696,324915579249,892110571251341,210.200.144.148,260317114623+0100,206,10,20610,36141954,42526073,48267869,206-10-2667,206-10-2667-78,4G,Smartphone,24
234384907280123,447528931132,531383083269496,162.87.247.89,260408102926+0000,234,38,23438,67000502,71494800,59576536,234-38-3317,234-38-3317-35,4G,Smartphone,357
234305339515746,447367808312,444407776530722,115.211.162.88,260408090911+0100,234,30,23430,69679433,69149744,62173385,234-30-1502,234-30-1502-35,3G,Smartphone,2664
3104106166290879,130596863677,674016543966352,57.252.90.99,260404085857-0800,310,410,310410,85942101,78008865,92046688,310-410-5757,310-410-5757-83,4G,IoT Device,1703
3104108018880030,120253782868,742986582203071,139.247.38.100,260403064041-0800,310,410,310410,72060716,88199699,69195724,310-410-1510,310-410-1510-63,4G,Smartphone,1301
206201572652136,324724394356,965499318400658,215.164.75.134,260402222234+0100,206,20,20620,42760934,32566058,36291113,206-20-4826,206-20-4826-64,5G,IoT Device,2941
206102671320253,324723867077,616557270429398,142.233.115.75,260402223348+0100,206,10,20610,46558887,51467847,48692086,206-10-7807,206-10-7807-91,5G,Smartphone,968
206204445325672,324519511094,586223552658216,19.38.114.49,260405021635+0100,206,20,20620,41456561,41968914,27969839,206-20-4826,206-20-4826-91,5G,Tablet,1817
206109525630800,324503810741,333347926009103,56.36.53.165,260403063736+0200,206,10,20610,32472794,34657097,42663568,206-10-3522,206-10-3522-83,5G,Tablet,2605
240080015447512,467357379848,150907300203287,67.196.150.120,260402052000+0200,240,08,24008,38576641,31589032,11728866,240-08-4443,240-08-4443-55,4G,Smartphone,2158
234330480880574,447887584024,891727563871389,71.76.54.100,260405161001+0100,234,33,23433,70078039,54774351,65383287,234-33-2734,234-33-2734-46,4G,IoT Device,1865
3101206262359605,130502618402,601934437870368,2.137.79.156,260406134311-0700,310,120,310120,83464882,71624661,87189149,310-120-4906,310-120-4906-63,5G,IoT Device,628
206057289868321,324608614984,289260315079669,30.38.190.68,260402000320+0100,206,05,20605,50284019,51362437,50248101,206-05-2330,206-05-2330-91,3G,IoT Device,1039
234383928532025,447561679467,965495907818986,108.201.169.242,260408071912+0100,234,38,23438,57222566,74077966,63900424,234-38-5128,234-38-5128-87,4G,IoT Device,1108
234152905543812,447858294380,118439342412603,41.159.183.115,260406051703+0000,234,15,23415,61177538,60345270,56072047,234-15-7866,234-15-7866-87,3G,IoT Device,2772
234330077017737,447594933078,238597811171960,192.115.176.254,260403055634+0100,234,33,23433,51225195,59329205,70672462,234-33-4871,234-33-4871-87,3G,IoT Device,818
240014631646066,467393237558,382654608833314,215.30.45.80,260407053758+0200,240,01,24001,29510027,18354948,15189769,240-01-2824,240-01-2824-62,3G,Smartphone,1643
240014260782411,467643424114,734885525466248,45.139.215.151,260403015726+0100,240,01,24001,14894093,14259047,17678076,240-01-3547,240-01-3547-43,5G,IoT Device,1153
234386715663685,447788010999,760210633482904,80.237.31.185,260402145808+0100,234,38,23438,62091507,50358539,62097709,234-38-3527,234-38-3527-87,3G,Smartphone,2366
240164907113646,467990688785,823323510391277,41.199.143.184,260402183919+0100,240,16,24016,30732995,11247632,21285879,240-16-7275,240-16-7275-37,5G,Smartphone,1710
234106281372143,447408003700,393938033228556,118.170.66.201,260407195956+0100,234,10,23410,75365911,71284602,72490294,234-10-5497,234-10-5497-35,3G,Tablet,365
206207725228728,324580100623,191225022038750,65.249.159.44,260324062435+0200,206,20,20620,50731110,51398620,47372576,206-20-5216,206-20-5216-72,5G,Tablet,14
234332632189451,447388589981,808360231199428,191.2.243.63,260406234058+0000,234,33,23433,54030054,66673740,77444271,234-33-8199,234-33-8199-87,5G,IoT Device,1427
206056296610356,324774808437,974862291492627,55.134.30.201,260406032400+0200,206,05,20605,37778402,51035159,37268590,206-05-8253,206-05-8253-64,4G,Smartphone,1208
234306450676146,447317769693,935970281109898,31.235.182.44,260406082859+0000,234,30,23430,56584994,73174377,71050439,234-30-1502,234-30-1502-35,4G,Tablet,2463
234205525003089,447737602787,175302683321583,43.137.109.123,260404114911+0000,234,20,23420,71118838,63561966,56986719,234-20-4485,234-20-4485-80,5G,Tablet,1992
206052371006876,324564819807,745328980460568,203.41.2.41,260405151544+0200,206,05,20605,51114736,51797959,39765487,206-05-1534,206-05-1534-91,4G,IoT Device,311
234339655987694,447330087106,297029733591693,26.253.113.54,260402055158+0100,234,33,23433,75660344,53626766,66941640,234-33-2479,234-33-2479-35,4G,Tablet,2318
3104109889728426,161709282616,445150961700537,206.44.71.224,260408070003-0800,310,410,310410,72500872,91658505,99624546,310-410-8273,310-410-8273-83,4G,Smartphone,848
3102601844617327,141530766740,117285491847669,91.249.65.2,260402054048-0600,310,260,310260,90073417,82269828,77822175,310-260-9897,310-260-9897-88,4G,Smartphone,2069
206053351424496,324839000453,894163248048867,77.196.188.180,260404063700+0200,206,05,20605,51205271,35560532,53258497,206-05-1986,206-05-1986-48,3G,Smartphone,1133
234389220288152,447389521768,104812281269625,8.185.144.3,260406161954+0000,234,38,23438,51526290,60992759,75475986,234-38-7108,234-38-7108-25,4G,Smartphone,1080
206012687485117,324861247685,886148427664692,57.112.93.229,260402203326+0200,206,01,20601,44529433,42334734,45066594,206-01-8933,206-01-8933-91,5G,Tablet,1932
206102896575492,324539801337,957422456191577,26.76.0.3,260403010323+0200,206,10,20610,30269409,33331909,35425569,206-10-5479,206-10-5479-91,5G,Smartphone,1447
234335367734985,447497356152,614924076559147,31.126.252.58,260407225426+0100,234,33,23433,75636612,63089138,55291737,234-33-6456,234-33-6456-35,4G,Tablet,666
3102601562420605,120216976905,456567463526821,24.161.237.61,260403084235-0800,310,260,310260,90288243,79977997,95031476,310-260-8272,310-260-8272-34,5G,Tablet,1658
206015572876841,324916282613,628701722434191,63.135.41.104,260402201742+0200,206,01,20601,45540426,52501229,45975707,206-01-4937,206-01-4937-64,5G,Smartphone,2257
240050737304150,467632405102,647086635838796,211.226.43.110,260406194446+0200,240,05,24005,16911389,16781048,19776129,240-05-4346,240-05-4346-37,3G,IoT Device,925
206102103674009,324654270983,244768218180343,39.24.209.106,260405233601+0200,206,10,20610,30984345,45331898,28511068,206-10-5722,206-10-5722-91,5G,Smartphone,1786
3102608507255320,141528515501,353041265247117,150.65.220.166,260401194325-0500,310,260,310260,88550827,87117617,96808485,310-260-6170,310-260-6170-88,4G,Tablet,1196
3101205309558779,161736427379,567394207238161,136.232.79.136,260407180925-0700,310,120,310120,74283547,89562077,74971579,310-120-5469,310-120-5469-88,4G,Tablet,1160
3104804127913253,130525888404,206003146274221,34.237.0.121,260402063556-0800,310,480,310480,74318075,92539536,72521549,310-480-8632,310-480-8632-88,3G,Smartphone,1719
240242362192158,467089705916,242829141863855,166.107.43.197,260408113856+0100,240,24,24024,28462926,28475107,12736465,240-24-7211,240-24-7211-37,5G,Smartphone,498
3104805478726819,130519229412,399198452806253,119.155.166.48,260403042617-0600,310,480,310480,92991601,89453702,81824584,310-480-5061,310-480-5061-73,3G,IoT Device,1073
234108470717302,447356013994,734091366598457,141.69.22.36,260403020628+0000,234,10,23410,63448326,55384297,52271853,234-10-5210,234-10-5210-46,4G,Smartphone,2958
234383701449877,447358927812,579752409833991,25.176.180.122,260402033821+0000,234,38,23438,69825265,66491862,74297878,234-38-6962,234-38-6962-87,3G,IoT Device,1962
206108312753418,324699557802,280122028017710,149.7.55.243,260405105822+0200,206,10,20610,44109463,34360202,43925652,206-10-2143,206-10-2143-83,4G,Smartphone,1104
234150276448294,447450079616,576321413777842,65.77.40.64,260404102936+0100,234,15,23415,59334624,66474304,53562504,234-15-3076,234-15-3076-35,3G,Tablet,1177
234202181299578,447589001678,121400197395623,220.160.2.132,260401165734+0000,234,20,23420,75375871,68160064,53229562,234-20-3972,234-20-3972-27,5G,Tablet,2974
240020534503581,467654980618,518416926487608,90.226.62.15,260407040013+0100,240,02,24002,32431005,22446906,25160198,240-02-5342,240-02-5342-20,5G,Tablet,1860
240052274454544,467627879244,687842217174066,172.90.74.41,260404134606+0100,240,05,24005,28725203,23001862,25077878,240-05-8973,240-05-8973-37,5G,Smartphone,1632
3102605194867568,130563331933,421974338246609,37.126.165.32,260402082345-0500,310,260,310260,94194316,76453413,97624770,310-260-2106,310-260-2106-88,5G,Smartphone,2888
240078678554701,467997795014,604323827093672,113.25.15.147,260405220308+0100,240,07,24007,35460109,31531200,21533065,240-07-9379,240-07-9379-37,5G,Tablet,1051
3102603539595691,151220703679,847901948937363,204.74.108.139,260406165554-0700,310,260,310260,97432930,71611217,71455651,310-260-8055,310-260-8055-63,5G,IoT Device,2111
3101208380657875,161785642059,393963920407859,187.207.110.89,260321163555-0500,310,120,310120,77810200,75356119,71719901,310-120-5583,310-120-5583-59,3G,Smartphone,40
3101209676424954,151267192247,825745832213258,86.12.194.204,260402230826-0500,310,120,310120,87519573,70842153,98515289,310-120-9991,310-120-9991-41,4G,Smartphone,2446
3101208731439151,120243678621,119840257818710,114.74.203.114,260402140315-0600,310,120,310120,90640655,92528042,92205205,310-120-5469,310-120-5469-63,3G,Smartphone,662
240018370256202,467935620438,881062965005413,53.45.41.32,260404223311+0100,240,01,24001,12275628,23046766,20655561,240-01-6925,240-01-6925-37,5G,IoT Device,2798
3104103336707628,120299560524,951162444084771,81.126.48.163,260405002650-0600,310,410,310410,70595060,71240692,74626843,310-410-1570,310-410-1570-88,5G,Smartphone,2588
240045112980310,467262370506,709831684825229,9.116.93.109,260405152003+0100,240,04,24004,15359562,20939025,19440578,240-04-5562,240-04-5562-37,5G,IoT Device,1432
240242452488160,467253417654,646781471411910,137.122.94.93,260402054533+0100,240,24,24024,31948725,13349302,19828132,240-24-5558,240-24-5558-43,5G,Tablet,1298
3102608951752047,151200483076,274158287325538,125.50.242.65,260404132141-0600,310,260,310260,75288819,85436613,85600409,310-260-4950,310-260-4950-63,5G,IoT Device,1651
206052438801372,324792884096,914599296573853,146.100.106.230,260408034948+0200,206,05,20605,51050290,45616600,35564182,206-05-5102,206-05-5102-91,5G,IoT Device,1845
234208351463547,447758488547,649046652069348,175.183.140.53,260404083239+0000,234,20,23420,79434465,63091063,66252993,234-20-6553,234-20-6553-27,4G,Smartphone,2184
234332156023247,447568792718,569927415137035,198.15.81.57,260402084018+0000,234,33,23433,73839462,74711846,69503260,234-33-4986,234-33-4986-57,3G,Smartphone,2148
240013110059129,467651910231,349074291106330,116.115.120.25,260403204436+0100,240,01,24001,34057829,12664623,22982241,240-01-8428,240-01-8428-37,4G,Smartphone,356
234380477246497,447483419067,942644441009978,107.224.9.128,260401213350+0100,234,38,23438,59783640,59783371,55829794,234-38-6072,234-38-6072-46,4G,Tablet,1213
3101200074577741,141565183163,369294332533630,138.132.199.7,260408131005-0700,310,120,310120,81157460,85326278,88701994,310-120-6221,310-120-6221-41,4G,IoT Device,1457
234150242743418,447524350481,491477238539683,10.178.187.142,260402050741+0100,234,15,23415,52753240,68422977,62267180,234-15-1536,234-15-1536-27,4G,IoT Device,2485
234102837900027,447463793589,482590884143725,76.220.220.195,260407010719+0000,234,10,23410,70014800,66974512,58440422,234-10-5847,234-10-5847-92,3G,Tablet,2894
234380153030440,447778110965,923977908455766,87.238.252.44,260408055316+0100,234,38,23438,57965180,60248422,60923186,234-38-6962,234-38-6962-35,4G,Smartphone,756
234107014295033,447793683402,237731691045498,53.167.206.172,260403144319+0000,234,10,23410,51381957,71074141,71031109,234-10-1359,234-10-1359-30,3G,Smartphone,1766
3104102489566546,141539899793,105471117004666,24.101.50.240,260407061154-0800,310,410,310410,71989708,94129566,89276093,310-410-1570,310-410-1570-88,4G,Smartphone,2349
206207039274991,324738397505,394598080833601,80.246.34.28,260404222922+0200,206,20,20620,39831827,44408984,53035277,206-20-8486,206-20-8486-91,4G,Tablet,2074
240240640707838,467378483034,794636625736540,155.79.184.119,260405104740+0100,240,24,24024,39124464,19766151,18802003,240-24-9031,240-24-9031-43,5G,Smartphone,929
206205911029849,324683509327,595400123296948,192.70.54.54,260402162624+0200,206,20,20620,54974860,43297991,31412843,206-20-9955,206-20-9955-64,4G,Smartphone,1924
3104802357774149,120257175322,765706639975261,69.188.80.168,260407002749-0500,310,480,310480,80600128,87680616,96178097,310-480-8632,310-480-8632-63,3G,Smartphone,1150
3104100227846997,130535494651,882122910986240,62.34.12.22,260407144821-0800,310,410,310410,82389064,88417528,68565313,310-410-9047,310-410-9047-88,3G,Tablet,118
234301734479459,447435163832,667153924897100,218.4.151.184,260404163454+0000,234,30,23430,53036589,64930246,50428128,234-30-3549,234-30-3549-35,3G,Tablet,881
206202084078464,324515774662,256825629978565,66.97.174.250,260408084338+0100,206,20,20620,51177112,34201520,35606407,206-20-1474,206-20-1474-91,5G,Smartphone,1206
206050132789282,324735097913,550502603295617,87.130.106.123,260405053302+0200,206,05,20605,43785648,36167083,44742864,206-05-5871,206-05-5871-91,5G,Smartphone,1320
234335769415139,447855323750,776779783973175,218.4.151.184,260406204316+0000,234,33,23433,55598060,60729970,55021537,234-33-8155,234-33-8155-87,3G,Tablet,1232
206010628334557,324656232770,175074244535859,195.225.74.103,260402124829+0200,206,01,20601,45764417,37325738,27043318,206-01-8753,206-01-8753-91,5G,IoT Device,862
3104800222446616,141517586662,641466285704388,145.241.161.162,260407014459-0700,310,480,310480,76747958,76614462,76782017,310-480-8632,310-480-8632-88,3G,IoT Device,1705
234387405187032,447417759902,562240584983910,70.48.7.138,260407220058+0100,234,38,23438,57006280,55903780,50209275,234-38-7347,234-38-7347-35,3G,Smartphone,1408
