Timestamp,MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI,Network_Type,Device_Type
260323183312-0600,310,410,310410,85566796,82357212,98108874,SUPPRESSED,310-410-50,5G,Smartphone
260305060303+0100,206,5,20605,32510894,49860726,44052902,SUPPRESSED,206-05-11,3G,Smartphone
260303043301+0200,240,4,24004,13034021,15288694,20207760,SUPPRESSED,240-04-48,4G,Smartphone
260312055117+0100,240,8,24008,18684579,12516152,10731492,SUPPRESSED,240-08-34,5G,IoT Device
260227202454+0100,240,24,24024,26740024,23824164,28478045,SUPPRESSED,240-24-31,5G,Tablet
260226094209-0500,310,120,310120,77810200,75356119,71719901,SUPPRESSED,310-120-55,3G,Smartphone
260316044054+0100,206,10,20610,37342009,30668672,42664680,SUPPRESSED,206-10-97,5G,IoT Device
260313151012-0500,310,410,310410,92331537,89761887,76767648,SUPPRESSED,310-410-43,4G,Smartphone
260228103034-0700,310,410,310410,93259129,72274815,88520392,SUPPRESSED,310-410-30,4G,IoT Device
260313104707+0000,234,38,23438,53124074,61339739,69932357,SUPPRESSED,234-38-10,3G,Tablet
260309232424-0500,310,480,310480,73254340,70863546,78888379,SUPPRESSED,310-480-37,5G,Smartphone
260324011337+0200,206,1,20601,37634061,48575797,27046274,206-01-87,206-01-87,4G,Smartphone
260324011109-0800,310,480,310480,88668484,83333021,86885999,SUPPRESSED,310-480-48,4G,Smartphone
260317020908+0100,234,10,23410,79849157,61123095,73169796,SUPPRESSED,234-10-95,3G,Smartphone
260326070722+0100,206,20,20620,43535359,34551652,51189785,SUPPRESSED,206-20-54,3G,Tablet
260323002834+0100,240,5,24005,15466265,29201794,17191338,SUPPRESSED,240-05-42,4G,Smartphone
260323123447+0100,206,5,20605,48839374,51721197,44923700,SUPPRESSED,206-05-54,4G,Smartphone
260320131642+0100,234,38,23438,71418249,65963024,72544165,234-38-27,234-38-27,3G,IoT Device
260305020337+0100,234,15,23415,54020355,72840426,62806693,SUPPRESSED,234-15-39,3G,Smartphone
260308132325+0100,234,10,23410,62861964,50156670,51265851,234-10-34,234-10-34,5G,Smartphone
260303180645+0200,206,1,20601,57246477,43535577,25641719,SUPPRESSED,206-01-62,4G,Tablet
260307134251+0100,206,5,20605,39058929,50897625,45321716,SUPPRESSED,206-05-44,5G,Smartphone
260303182754+0200,206,1,20601,56156559,47169982,27518200,SUPPRESSED,206-01-93,3G,Smartphone
260306221831+0200,240,5,24005,33149284,26047239,24151240,SUPPRESSED,240-05-84,4G,Smartphone
260307144707+0100,206,5,20605,53093557,53507570,45744659,SUPPRESSED,206-05-19,3G,IoT Device
260325061239+0200,240,5,24005,25035693,12953456,26725412,SUPPRESSED,240-05-88,5G,Smartphone
260302103144-0700,310,120,310120,70073717,81454044,88832973,SUPPRESSED,310-120-91,3G,Smartphone
260226053019+0100,234,38,23438,68563195,64522706,69633393,234-38-27,234-38-27,5G,Tablet
260318223045-0600,310,260,310260,93836949,91813279,76932808,SUPPRESSED,310-260-31,4G,Tablet
260308151803+0000,234,20,23420,79126433,72666891,74813250,SUPPRESSED,234-20-88,4G,Tablet
260226095506+0200,206,5,20605,31363458,44378336,34365452,SUPPRESSED,206-05-93,4G,Tablet
260308001159+0000,234,15,23415,57422175,57158965,72257811,SUPPRESSED,234-15-51,3G,Tablet
260315183755+0100,234,20,23420,71861658,56459643,60747912,SUPPRESSED,234-20-58,5G,Tablet
260318161100+0100,240,4,24004,20616764,10566766,23069513,SUPPRESSED,240-04-98,3G,Smartphone
260317020723+0100,240,2,24002,14135085,11401674,10168773,SUPPRESSED,240-02-17,5G,Smartphone
260313170814-0500,310,410,310410,73356955,79567614,69684794,SUPPRESSED,310-410-44,4G,IoT Device
260317093745+0200,206,20,20620,32750580,39415908,53813648,SUPPRESSED,206-20-83,5G,Smartphone
260309062003+0100,206,10,20610,52235800,38015509,53453548,SUPPRESSED,206-10-22,5G,Tablet
260305163217+0100,206,20,20620,49131400,35833431,37638597,SUPPRESSED,206-20-36,5G,Smartphone
260311004506-0700,310,120,310120,86157017,92656939,97132706,SUPPRESSED,310-120-94,4G,IoT Device
260312100019-0600,310,260,310260,74788624,89550360,77206038,310-260-77,310-260-77,4G,Smartphone
260316201958+0000,234,38,23438,67516897,64115813,62427804,SUPPRESSED,234-38-66,4G,Smartphone
260227211156+0200,240,5,24005,15193507,24296590,29641764,SUPPRESSED,240-05-88,4G,Tablet
260317062223+0100,234,33,23433,70603272,73389365,72970171,SUPPRESSED,234-33-79,3G,Smartphone
260301120318+0100,240,16,24016,27131143,27307833,17773587,SUPPRESSED,240-16-10,5G,Smartphone
260315100439+0100,206,10,20610,43661171,46986531,28572371,SUPPRESSED,206-10-49,3G,Smartphone
260309122128+0200,240,8,24008,19639838,13120878,23385890,SUPPRESSED,240-08-29,5G,Tablet
260318151009+0000,234,33,23433,70826144,60583635,66520201,SUPPRESSED,234-33-39,3G,Smartphone
260304093744+0100,234,15,23415,68406733,58819750,57957069,SUPPRESSED,234-15-93,3G,IoT Device
260323204031+0100,234,33,23433,67917482,74177992,60594048,SUPPRESSED,234-33-66,3G,Tablet
260320102522-0700,310,410,310410,86357575,94713717,94992972,310-410-17,310-410-17,3G,Smartphone
260226140703+0200,240,7,24007,34419990,17872782,18443872,SUPPRESSED,240-07-85,5G,Tablet
260310183646+0100,240,4,24004,25676411,28138994,19140711,SUPPRESSED,240-04-75,3G,IoT Device
260325135919-0600,310,260,310260,80053260,70306439,93886024,SUPPRESSED,310-260-84,4G,IoT Device
260321235812+0000,234,10,23410,59131306,73503960,70896149,SUPPRESSED,234-10-99,3G,IoT Device
260319092331-0600,310,410,310410,88226497,85775508,77187220,SUPPRESSED,310-410-13,3G,Tablet
260319151422+0200,206,20,20620,51236900,44568047,35888865,SUPPRESSED,206-20-12,5G,Tablet
260320012046+0100,240,7,24007,10716482,33127391,22675822,SUPPRESSED,240-07-29,5G,Smartphone
260305074013+0000,234,20,23420,70794842,62216336,76038795,SUPPRESSED,234-20-16,4G,Tablet
260304024744+0200,206,1,20601,38587872,31647040,37292801,SUPPRESSED,206-01-98,4G,Tablet
260301053522+0100,206,1,20601,50982426,36002817,43737582,SUPPRESSED,206-01-44,4G,IoT Device
260318063455-0500,310,410,310410,85180141,85015601,91648296,SUPPRESSED,310-410-85,4G,IoT Device
260307001141+0100,240,7,24007,29142372,23415003,29094650,SUPPRESSED,240-07-12,4G,Tablet
260303065251+0100,206,10,20610,46857800,53413230,32408723,SUPPRESSED,206-10-89,4G,IoT Device
260322184826+0100,206,20,20620,50669423,54684913,42590836,SUPPRESSED,206-20-83,5G,Smartphone
260311092308+0100,206,1,20601,38155347,50837384,29955220,206-01-53,206-01-53,4G,IoT Device
260319162744+0000,234,20,23420,63040767,72158435,59103665,SUPPRESSED,234-20-28,3G,Smartphone
260313052844+0000,234,10,23410,66819208,59256938,77242603,SUPPRESSED,234-10-57,3G,IoT Device
260311172907+0200,240,16,24016,14538320,24430563,14870506,SUPPRESSED,240-16-14,5G,Smartphone
260225225129+0200,206,1,20601,53090189,45992116,29499200,SUPPRESSED,206-01-97,4G,Tablet
260318192215-0700,310,260,310260,87990523,87623812,67584494,SUPPRESSED,310-260-73,4G,Smartphone
260326120448+0200,240,24,24024,14540138,23189130,23876747,SUPPRESSED,240-24-16,5G,Smartphone
260314200723+0100,234,10,23410,56001772,73892349,51721694,SUPPRESSED,234-10-39,4G,Tablet
260316084424-0700,310,410,310410,90795897,91093504,78934323,SUPPRESSED,310-410-83,4G,Smartphone
260302124818+0100,240,4,24004,35449090,24338608,28470744,SUPPRESSED,240-04-19,4G,Smartphone
260303102120+0200,240,24,24024,34467379,31201623,26701420,SUPPRESSED,240-24-32,5G,Smartphone
260305101818-0600,310,260,310260,70977017,75893134,78020165,SUPPRESSED,310-260-57,3G,Smartphone
260304153544+0100,234,38,23438,69158964,70323553,63071675,SUPPRESSED,234-38-88,4G,Tablet
260319131527+0100,206,10,20610,57586390,47319006,47706864,206-10-61,206-10-61,4G,Smartphone
260303192400+0100,206,1,20601,39181730,33840653,25511930,SUPPRESSED,206-01-85,5G,Smartphone
260319170029+0100,240,8,24008,20483768,21151214,16648714,SUPPRESSED,240-08-62,4G,Tablet
260322061218+0200,240,4,24004,27043962,13453831,23612562,SUPPRESSED,240-04-25,5G,Smartphone
260228205021+0200,240,2,24002,13276721,24938977,15911418,SUPPRESSED,240-02-59,5G,Smartphone
260311004705+0100,234,10,23410,69553072,50272436,70518224,SUPPRESSED,234-10-27,4G,IoT Device
260302024606-0600,310,410,310410,99284150,92483686,73425461,SUPPRESSED,310-410-20,5G,IoT Device
260320095813+0100,206,1,20601,43785429,48326298,44339175,206-01-12,206-01-12,5G,Smartphone
260228074728+0000,234,10,23410,64126956,61841846,76783926,SUPPRESSED,234-10-89,3G,Tablet
260314083202+0100,234,15,23415,55859068,69856510,74795625,SUPPRESSED,234-15-15,5G,Tablet
260308233305+0200,206,10,20610,55036657,47868434,32840372,SUPPRESSED,206-10-38,5G,Smartphone
260314201614-0800,310,480,310480,88374828,70354938,65568825,SUPPRESSED,310-480-53,4G,Smartphone
260228031945+0100,240,16,24016,19273893,24327185,20851641,SUPPRESSED,240-16-26,4G,Smartphone
260320231437+0000,234,10,23410,76079751,64961319,50629641,SUPPRESSED,234-10-55,3G,Smartphone
260307115649-0600,310,120,310120,72699681,85422937,84458796,SUPPRESSED,310-120-16,4G,Smartphone
260227033632+0100,206,1,20601,33965701,37102740,52081906,SUPPRESSED,206-01-72,4G,Tablet
260322133917-0600,310,260,310260,80879519,74053457,74216020,SUPPRESSED,310-260-21,4G,Smartphone
260310020549+0000,234,10,23410,54801231,71468988,59091564,SUPPRESSED,234-10-38,3G,Smartphone
260318071321-0800,310,260,310260,86693827,75916445,75721284,310-260-38,310-260-38,4G,Tablet
260315132501+0100,240,8,24008,39188540,16709404,22600775,SUPPRESSED,240-08-56,5G,Smartphone
260311004009+0100,206,20,20620,35260936,51407701,45519477,206-20-89,206-20-89,5G,Smartphone
260306180110+0100,206,1,20601,45181413,46619008,33070226,SUPPRESSED,206-01-77,4G,IoT Device
260305104719+0100,240,16,24016,29301494,16950680,12716534,SUPPRESSED,240-16-45,4G,Smartphone
260314041507+0000,234,33,23433,61583881,65180382,66315067,SUPPRESSED,234-33-69,3G,Smartphone
260225223727+0200,240,7,24007,34753414,31632020,10720826,SUPPRESSED,240-07-84,4G,Smartphone
260311165946+0000,234,10,23410,70757785,55395213,73884453,SUPPRESSED,234-10-13,4G,Tablet
260307070015+0000,234,15,23415,50144092,74779779,68325604,SUPPRESSED,234-15-35,3G,Smartphone
260313180747+0100,234,30,23430,52804799,68066118,64947092,SUPPRESSED,234-30-57,4G,IoT Device
260227153605+0200,240,5,24005,12888297,14819734,16972067,SUPPRESSED,240-05-90,5G,Smartphone
260313174113+0100,234,33,23433,55168186,58813978,60072013,SUPPRESSED,234-33-64,5G,Tablet
260316110037-0500,310,410,310410,81991866,75479735,68549275,SUPPRESSED,310-410-78,4G,IoT Device
260227205731+0100,234,30,23430,53436573,57310712,55186002,SUPPRESSED,234-30-68,3G,Tablet
260306062543+0100,206,1,20601,30631038,46248897,50411913,SUPPRESSED,206-01-78,5G,Smartphone
260313162738-0500,310,260,310260,86941942,89133923,69586021,SUPPRESSED,310-260-27,5G,Tablet
260307151549+0100,240,5,24005,33646845,19672778,28694251,SUPPRESSED,240-05-41,4G,Tablet
260304145815+0100,240,8,24008,22204082,16680230,21362592,SUPPRESSED,240-08-90,4G,Smartphone
260306130917+0200,206,1,20601,36009454,42839032,45286470,SUPPRESSED,206-01-48,5G,Smartphone
260302195211+0000,234,20,23420,79685613,73691415,55507766,SUPPRESSED,234-20-25,4G,Tablet
260318193941-0800,310,260,310260,70902608,90976653,87901337,SUPPRESSED,310-260-61,4G,Smartphone
260326115540-0500,310,480,310480,89137889,83096321,86637331,SUPPRESSED,310-480-66,4G,Smartphone
260303214453+0200,240,2,24002,36883330,27819539,25947360,SUPPRESSED,240-02-43,5G,Tablet
260318074400-0600,310,410,310410,87524459,76732630,89446059,SUPPRESSED,310-410-22,5G,Tablet
260326072709-0600,310,260,310260,79150695,74577852,66955677,310-260-34,310-260-34,5G,IoT Device
260316051335+0100,234,38,23438,54102929,60516305,61049001,SUPPRESSED,234-38-38,5G,IoT Device
260323061906-0600,310,480,310480,88546470,82908061,85754657,SUPPRESSED,310-480-45,3G,Smartphone
260311103804+0000,234,33,23433,74468951,68378692,74755974,SUPPRESSED,234-33-48,3G,IoT Device
260304154440+0100,234,38,23438,63908192,62334594,56103190,SUPPRESSED,234-38-14,4G,Smartphone
260321175300-0800,310,260,310260,98921797,78932285,84324800,SUPPRESSED,310-260-13,5G,Tablet
260314092455-0800,310,260,310260,72451339,73197046,68942801,310-260-80,310-260-80,4G,IoT Device
260301132257+0200,240,5,24005,18737775,13920568,20511583,SUPPRESSED,240-05-87,5G,IoT Device
260227151725+0100,240,24,24024,24814942,21962829,28819154,SUPPRESSED,240-24-56,5G,Smartphone
260315063032-0800,310,480,310480,75159848,70968867,70440061,SUPPRESSED,310-480-28,3G,Smartphone
260320082734-0800,310,480,310480,79560861,91715354,75343802,SUPPRESSED,310-480-54,4G,Smartphone
260306000316+0200,240,24,24024,31730206,33026277,15203275,SUPPRESSED,240-24-80,5G,Smartphone
260306055002-0500,310,410,310410,70545886,73823040,96063280,SUPPRESSED,310-410-86,3G,IoT Device
260325121330+0100,206,20,20620,40160281,50753395,52284198,SUPPRESSED,206-20-17,4G,Tablet
260305003019+0100,234,20,23420,56755796,59892900,69106915,SUPPRESSED,234-20-24,3G,Smartphone
260302070621-0500,310,410,310410,86602357,90894233,88270945,SUPPRESSED,310-410-11,4G,IoT Device
260309080534-0800,310,120,310120,73385767,83958118,98133329,SUPPRESSED,310-120-36,4G,Smartphone
260305194001+0000,234,15,23415,78239308,53722221,53553141,SUPPRESSED,234-15-17,3G,Smartphone
260318040640+0100,240,2,24002,31120515,32313538,18235978,SUPPRESSED,240-02-37,4G,Smartphone
260324191034+0200,206,5,20605,54211235,54920792,35525865,SUPPRESSED,206-05-32,4G,Smartphone
260309200337+0000,234,20,23420,50785903,50935874,76729416,SUPPRESSED,234-20-96,5G,Tablet
260324080059+0000,234,20,23420,53530829,61000718,67329247,SUPPRESSED,234-20-79,3G,Smartphone
260226205358+0200,206,20,20620,34265572,46265994,48862253,SUPPRESSED,206-20-26,5G,Tablet
260310060902-0600,310,120,310120,99831809,79512087,79467426,SUPPRESSED,310-120-44,4G,IoT Device
260318014606+0200,206,1,20601,31537454,52496362,54864892,SUPPRESSED,206-01-30,4G,IoT Device
260310050847-0700,310,120,310120,90362668,80751885,91964198,SUPPRESSED,310-120-37,4G,IoT Device
260319024928+0200,240,1,24001,20738809,14780182,23852034,SUPPRESSED,240-01-65,4G,Smartphone
260227194256+0100,234,30,23430,69067159,63648128,64964681,SUPPRESSED,234-30-29,3G,IoT Device
260327013908+0100,240,4,24004,20087749,13010339,23264231,SUPPRESSED,240-04-71,5G,Tablet
260314085129+0100,240,7,24007,28074072,11038426,24937653,240-07-80,240-07-80,5G,IoT Device
260311044315+0200,240,16,24016,13722747,19306239,29095902,SUPPRESSED,240-16-68,4G,Tablet
260302123756-0600,310,260,310260,99655488,94200136,80069175,310-260-38,310-260-38,4G,IoT Device
260326034048+0200,240,16,24016,37934652,11826463,21193371,SUPPRESSED,240-16-97,4G,Smartphone
260307015632+0100,206,20,20620,45213956,42882218,40576272,SUPPRESSED,206-20-25,4G,Smartphone
260306232508-0500,310,410,310410,80441744,89584578,74772707,SUPPRESSED,310-410-14,4G,Tablet
260316230113+0200,206,10,20610,33518111,45243848,54397221,SUPPRESSED,206-10-66,4G,Smartphone
260310172605+0200,240,5,24005,19532843,15843390,17346576,SUPPRESSED,240-05-10,4G,Smartphone
260228132525+0000,234,20,23420,70117531,64412976,71345415,SUPPRESSED,234-20-50,3G,Smartphone
260316192832+0100,206,5,20605,49501389,43453517,46411270,SUPPRESSED,206-05-97,5G,Smartphone
260226165913+0100,240,5,24005,22331654,26694774,20637440,SUPPRESSED,240-05-43,5G,Smartphone
260315201516+0100,234,10,23410,50286349,60048685,59457157,SUPPRESSED,234-10-39,3G,Tablet
260305021426+0100,234,30,23430,60253292,74756629,50324845,SUPPRESSED,234-30-11,4G,IoT Device
260310052413-0700,310,410,310410,91441392,80222205,71257331,310-410-46,310-410-46,4G,IoT Device
260225224446+0100,206,5,20605,34359803,36901375,35393726,SUPPRESSED,206-05-15,5G,Smartphone
260318090014-0800,310,260,310260,78359577,76025641,93996170,SUPPRESSED,310-260-60,4G,IoT Device
260313153452-0800,310,260,310260,81531239,83399688,78046203,SUPPRESSED,310-260-25,4G,Smartphone
260310221209-0500,310,120,310120,82015405,75970683,79540640,SUPPRESSED,310-120-51,4G,Smartphone
260312004726+0100,240,24,24024,23947906,27196649,13613269,SUPPRESSED,240-24-17,5G,Smartphone
260309130647+0100,234,33,23433,53416297,73908576,67991266,SUPPRESSED,234-33-41,3G,Tablet
260304092647+0200,206,1,20601,32010682,34615596,37566927,206-01-63,206-01-63,5G,Tablet
260302191159-0700,310,260,310260,72168182,86496777,69696608,310-260-34,310-260-34,4G,Smartphone
260323000334+0100,206,5,20605,44810123,44183366,41954804,SUPPRESSED,206-05-43,3G,Smartphone
260307064013-0600,310,480,310480,86490450,83574621,92905218,SUPPRESSED,310-480-13,4G,Smartphone
260321164521-0700,310,480,310480,78532490,78301863,75833210,SUPPRESSED,310-480-90,4G,Tablet
260322045634+0100,240,2,24002,13250440,12343491,24020370,SUPPRESSED,240-02-72,5G,IoT Device
260323005652-0700,310,480,310480,70995447,89651032,80755827,SUPPRESSED,310-480-37,4G,IoT Device
260307102658-0800,310,120,310120,97053938,73361394,65207008,SUPPRESSED,310-120-11,4G,IoT Device
260310174830-0800,310,260,310260,90373372,76545696,74607401,SUPPRESSED,310-260-14,3G,Tablet
260326120704+0100,240,24,24024,39257471,17509690,29326416,SUPPRESSED,240-24-24,5G,IoT Device
260304020730+0200,240,16,24016,20725438,22248167,14238171,SUPPRESSED,240-16-72,5G,Smartphone
260306150250+0100,206,20,20620,59039075,36006922,53748725,SUPPRESSED,206-20-11,5G,Smartphone
260308155613-0800,310,410,310410,96989790,76565094,65612872,SUPPRESSED,310-410-36,4G,Smartphone
260311223548+0000,234,38,23438,59234717,71217591,71917603,SUPPRESSED,234-38-34,5G,Tablet
260323040840-0700,310,120,310120,96289043,87786790,97786925,310-120-29,310-120-29,3G,Smartphone
260228014509+0100,240,5,24005,36266470,19844763,27921502,SUPPRESSED,240-05-29,5G,Smartphone
